"Allocation","Object/s (avg.)","Objects Created","Level"
"byte[]","3673","231423","1"
"java.lang.String","3518","221660","1"
"java.nio.StringCharBuffer","3330","209839","1"
"java.util.WeakHashMap$Entry","1756","110628","1"
"org.apache.derby.iapi.store.raw.PageKey","297","18730","1"
"char[][]","108","6836","1"
"java.lang.Object[]","106","6724","1"
"org.apache.derby.impl.services.locks.Lock","92","5843","1"
"int[]","91","5770","1"
"java.util.ArrayList","80","5046","1"
"org.apache.derby.iapi.types.DataValueDescriptor[]","75","4740","1"
"char[]","74","4693","1"
"org.apache.derby.iapi.types.SQLChar","57","3625","1"
"org.apache.derby.iapi.types.SQLVarchar","50","3150","1"
"java.util.Hashtable$Entry","49","3101","1"
"java.lang.StringBuilder","46","2939","1"
"org.apache.derby.impl.sql.compile.SQLParser$JJCalls","43","2726","1"
"org.apache.derby.impl.store.access.heap.HeapRowLocation","41","2621","1"
"org.apache.derby.impl.store.raw.data.BaseContainerHandle","40","2547","1"
"java.lang.Long","39","2500","1"
"java.util.HashMap$Node","38","2454","1"
"java.util.concurrent.ConcurrentHashMap$Node","38","2426","1"
"org.apache.derby.impl.store.raw.log.LogCounter","32","2073","1"
"org.apache.derby.impl.store.access.conglomerate.OpenConglomerateScratchSpace","31","2000","1"
"java.util.concurrent.locks.ReentrantLock","29","1874","1"
"java.util.concurrent.locks.ReentrantLock$NonfairSync","29","1874","1"
"java.lang.Object","29","1850","1"
"org.apache.derby.impl.store.raw.data.RecordId","28","1764","1"
"org.apache.derby.iapi.services.classfile.CONSTANT_Utf8_info","23","1488","1"
"org.apache.derby.impl.store.raw.xact.XactId","23","1453","1"
"org.apache.derby.impl.services.locks.ConcurrentLockSet$Entry","22","1446","1"
"org.apache.derby.iapi.types.SQLInteger","22","1412","1"
"org.apache.derby.iapi.services.classfile.CONSTANT_Index_info","21","1364","1"
"org.apache.derby.impl.store.access.heap.OpenHeap","21","1354","1"
"boolean[]","21","1343","1"
"org.apache.derby.iapi.types.SQLLongint","21","1337","1"
"long[]","20","1288","1"
"org.apache.derby.impl.store.access.heap.HeapController","20","1261","1"
"org.apache.derby.impl.store.raw.log.LogRecord","19","1213","1"
"org.apache.derby.impl.sql.execute.IndexRow","17","1115","1"
"org.apache.derby.iapi.store.raw.FetchDescriptor","17","1110","1"
"java.util.ArrayList$Itr","17","1102","1"
"java.lang.String[]","15","991","1"
"java.util.ResourceBundle$KeyElementReference","15","976","1"
"org.apache.derby.impl.sql.GenericParameter","15","976","1"
"java.util.concurrent.ConcurrentHashMap$ValueIterator","14","894","1"
"java.util.LinkedList$Node","13","880","1"
"org.apache.derby.impl.services.locks.LockControl","13","874","1"
"java.util.HashMap","13","836","1"
"org.apache.derby.impl.services.uuid.BasicUUID","12","775","1"
"org.apache.derby.impl.sql.execute.ValueRow","12","768","1"
"short[]","11","725","1"
"java.util.HashMap$Node[]","10","664","1"
"org.apache.derby.impl.store.access.btree.index.B2IUndo","10","644","1"
"org.apache.derby.impl.store.raw.data.StoredRecordHeader","9","613","1"
"org.apache.derby.iapi.services.io.FormatIdOutputStream","9","589","1"
"org.apache.derby.iapi.util.ByteArray","9","581","1"
"org.apache.derby.impl.store.access.btree.SearchParameters","9","573","1"
"org.apache.derby.impl.store.raw.xact.TransactionTableEntry","8","549","1"
"org.apache.derby.impl.services.bytecode.BCMethodDescriptor","8","527","1"
"org.apache.derby.iapi.types.DataValueDescriptor[][]","8","525","1"
"java.io.StringReader","7","498","1"
"org.apache.derby.impl.store.access.conglomerate.RowPosition","7","494","1"
"java.util.HashMap$KeyIterator","7","489","1"
"java.util.ResourceBundle$CacheKey","7","488","1"
"org.apache.derby.impl.store.access.btree.index.B2IRowLockingRR","7","463","1"
"org.apache.derby.impl.store.access.btree.BTreeRowPosition","7","461","1"
"org.apache.derby.impl.store.access.btree.index.B2IForwardScan","7","461","1"
"java.util.ResourceBundle$$Lambda$113.0x00000008013d6500","7","448","1"
"org.apache.derby.impl.io.DirFile","6","430","1"
"org.apache.derby.iapi.services.io.ArrayInputStream","6","429","1"
"org.apache.derby.iapi.services.io.FormatIdInputStream","6","429","1"
"org.apache.derby.iapi.types.UserType","6","429","1"
"java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject","6","428","1"
"org.apache.derby.iapi.store.raw.ContainerKey","6","427","1"
"org.apache.derby.impl.sql.compile.Token","6","406","1"
"org.apache.derby.impl.store.raw.data.InsertOperation","6","401","1"
"org.apache.derby.impl.services.cache.CacheEntry","6","395","1"
"java.util.MissingResourceException","5","366","1"
"org.apache.derby.iapi.services.io.ArrayOutputStream","5","366","1"
"org.apache.derby.iapi.services.io.DynamicByteArrayOutputStream","5","365","1"
"org.apache.derby.impl.store.raw.xact.XactContext","5","362","1"
"org.apache.derby.impl.store.raw.data.StoredRecordHeader$OverflowInfo","5","360","1"
"java.lang.StringBuffer","5","339","1"
"org.apache.derby.impl.store.raw.xact.BeginXact","5","337","1"
"org.apache.derby.impl.store.raw.xact.EndXact","5","336","1"
"java.util.Collections$UnmodifiableCollection$1","4","310","1"
"org.apache.derby.iapi.services.monitor.DerbyObserver[]","4","306","1"
"java.util.HashMap$KeySet","4","304","1"
"java.util.ArrayDeque","4","303","1"
"org.apache.derby.impl.services.locks.LockSpace","4","303","1"
"com.yourkit.probes.ResourceCounter$MyPhantomReference","4","279","1"
"com.yourkit.probes.ResourceCounter$Resource","4","279","1"
"org.apache.derby.impl.sql.compile.ResultColumn","4","268","1"
"org.apache.derby.iapi.services.io.FormatableBitSet","4","267","1"
"java.util.TreeMap$KeyIterator","4","256","1"
"org.apache.derby.iapi.services.classfile.ClassFormatOutput","3","248","1"
"org.apache.derby.iapi.services.io.AccessibleByteArrayOutputStream","3","248","1"
"java.nio.HeapByteBuffer","3","247","1"
"org.apache.derby.catalog.types.TypeDescriptorImpl","3","247","1"
"org.apache.derby.impl.store.raw.log.FileLogger","3","243","1"
"org.apache.derby.impl.store.access.RAMTransaction","3","241","1"
"org.apache.derby.impl.store.access.RAMTransactionContext","3","241","1"
"org.apache.derby.impl.store.raw.xact.Xact","3","239","1"
"org.apache.derby.iapi.types.SQLBoolean","3","219","1"
"com.yourkit.probes.WeakKeyMap$Entry","3","218","1"
"org.apache.derby.iapi.services.classfile.AttributeEntry","3","217","1"
"org.apache.derby.iapi.services.classfile.MemberTableHash","3","217","1"
"org.apache.derby.iapi.types.DataTypeDescriptor[]","3","216","1"
"java.util.TreeMap$Entry","3","214","1"
"org.apache.derby.iapi.sql.ResultColumnDescriptor[]","3","192","1"
"org.apache.derby.catalog.types.BaseTypeIdImpl","2","188","1"
"java.util.HashSet","2","187","1"
"java.util.Stack","2","187","1"
"org.apache.derby.impl.sql.GenericActivationHolder","2","187","1"
"java.io.FileCleanable","2","186","1"
"java.io.FileDescriptor","2","186","1"
"java.util.Vector","2","186","1"
"org.apache.derby.iapi.types.DataTypeDescriptor","2","186","1"
