"Method","Time (ms)","Avg. Time (ms)","Own Time (ms)","Count"
"java.lang.String.<init>(char[], int, int, Void) String.java","2411","< 0.1","956","188991"
"java.lang.String.<init>(char[], int, int) String.java","6069","< 0.1","1454","188935"
"java.nio.Buffer.<init>(int, int, int, int, MemorySegment) Buffer.java","5642","< 0.1","1315","186647"
"java.nio.CharBuffer.<init>(int, int, int, int, MemorySegment) CharBuffer.java","7376","< 0.1","870","186420"
"java.nio.CharBuffer.<init>(int, int, int, int, char[], int, MemorySegment) CharBuffer.java","6505","< 0.1","870","186420"
"java.nio.StringCharBuffer.<init>(CharSequence, int, int) StringCharBuffer.java","11866","< 0.1","2325","186420"
"java.lang.ref.Reference.<init>(Object, ReferenceQueue) Reference.java","223","< 0.1","223","97536"
"java.lang.ref.WeakReference.<init>(Object, ReferenceQueue) WeakReference.java","685","< 0.1","463","96970"
"java.util.WeakHashMap$Entry.<init>(Object, Object, ReferenceQueue, int, WeakHashMap$Entry) WeakHashMap.java","1165","< 0.1","488","95857"
"org.apache.derby.iapi.store.raw.PageKey.<init>(ContainerKey, long) PageKey.java","48","< 0.1","48","16644"
"org.apache.derby.iapi.types.DataType.<init>() DataType.java","28","< 0.1","28","11836"
"java.util.AbstractCollection.<init>() AbstractCollection.java","15","< 0.1","15","6372"
"java.util.AbstractList.<init>() AbstractList.java","40","< 0.1","27","5510"
"org.apache.derby.impl.services.locks.Lock.<init>(CompatibilitySpace, Lockable, Object) Lock.java","15","< 0.1","15","5221"
"java.util.ArrayList.<init>() ArrayList.java","54","< 0.1","22","4286"
"java.lang.String.<init>(byte[], byte) String.java","9","< 0.1","9","3521"
"java.lang.String.<init>(AbstractStringBuilder, Void) String.java","58","< 0.1","26","3448"
"org.apache.derby.iapi.types.SQLChar.<init>(String) SQLChar.java","43","< 0.1","35","3375"
"java.lang.String.<init>(StringBuilder) String.java","70","< 0.1","16","3138"
"java.util.Hashtable$Entry.<init>(int, Object, Object, Hashtable$Entry) Hashtable.java","7","< 0.1","7","2800"
"org.apache.derby.iapi.types.SQLChar.<init>() SQLChar.java","35","< 0.1","28","2770"
"org.apache.derby.iapi.services.monitor.DerbyObservable.<init>() DerbyObservable.java","62","< 0.1","29","2638"
"org.apache.derby.iapi.services.classfile.ConstantPoolEntry.<init>(int) ConstantPoolEntry.java","6","< 0.1","6","2632"
"org.apache.derby.iapi.types.NumberDataType.<init>() NumberDataType.java","18","< 0.1","12","2547"
"org.apache.derby.impl.sql.compile.SQLParser$JJCalls.<init>() SQLParser.java","6","< 0.1","6","2538"
"org.apache.derby.impl.store.raw.data.BaseContainerHandle.<init>(UUID, RawTransaction, ContainerKey, LockingPolicy, int) BaseContainerHandle.java","64","< 0.1","11","2302"
"java.lang.Number.<init>() Number.java","5","< 0.1","5","2285"
"java.lang.Long.<init>(long) Long.java","18","< 0.1","12","2283"
"java.util.concurrent.ConcurrentHashMap$Node.<init>(int, Object, Object) ConcurrentHashMap.java","6","< 0.1","6","2247"
"java.util.HashMap$Node.<init>(int, Object, Object, HashMap$Node) HashMap.java","6","< 0.1","6","2237"
"org.apache.derby.impl.store.access.heap.HeapRowLocation.<init>() HeapRowLocation.java","14","< 0.1","9","1926"
"org.apache.derby.impl.store.raw.log.LogCounter.<init>(long) LogCounter.java","5","< 0.1","5","1868"
"org.apache.derby.impl.store.access.conglomerate.OpenConglomerateScratchSpace.<init>(int[], int[], boolean) OpenConglomerateScratchSpace.java","5","< 0.1","5","1798"
"org.apache.derby.impl.store.raw.data.BaseContainerHandle.<init>(UUID, RawTransaction, PageActions, AllocationActions, LockingPolicy, BaseContainer, int) BaseContainerHandle.java","58","< 0.1","9","1721"
"java.util.concurrent.locks.AbstractOwnableSynchronizer.<init>() AbstractOwnableSynchronizer.java","4","< 0.1","4","1687"
"java.util.concurrent.locks.AbstractQueuedSynchronizer.<init>() AbstractQueuedSynchronizer.java","12","< 0.1","8","1687"
"java.util.concurrent.locks.ReentrantLock.<init>() ReentrantLock.java","48","< 0.1","18","1687"
"java.util.concurrent.locks.ReentrantLock$NonfairSync.<init>() ReentrantLock.java","29","< 0.1","9","1687"
"java.util.concurrent.locks.ReentrantLock$Sync.<init>() ReentrantLock.java","20","< 0.1","8","1687"
"java.io.OutputStream.<init>() OutputStream.java","4","< 0.1","4","1683"
"org.apache.derby.impl.sql.execute.ValueRow.<init>(int) ValueRow.java","13","< 0.1","13","1681"
"java.lang.AbstractStringBuilder.<init>(int) AbstractStringBuilder.java","13","< 0.1","13","1671"
"org.apache.derby.iapi.types.SQLVarchar.<init>() SQLVarchar.java","29","< 0.1","9","1634"
"java.lang.StringBuilder.<init>() StringBuilder.java","21","< 0.1","9","1532"
"org.apache.derby.iapi.services.classfile.CONSTANT_Utf8_info.<init>(String) CONSTANT_Utf8_info.java","10","< 0.1","7","1344"
"java.lang.AbstractStringBuilder.<init>(String) AbstractStringBuilder.java","68","< 0.1","16","1333"
"org.apache.derby.impl.services.locks.ConcurrentLockSet$Entry.<init>() ConcurrentLockSet.java","53","< 0.1","16","1295"
"org.apache.derby.iapi.types.SQLVarchar.<init>(String) SQLVarchar.java","22","< 0.1","6","1243"
"org.apache.derby.iapi.services.classfile.CONSTANT_Index_info.<init>(int, int, int) CONSTANT_Index_info.java","9","< 0.1","6","1232"
"org.apache.derby.impl.store.access.conglomerate.OpenConglomerate.<init>() OpenConglomerate.java","2","< 0.1","2","1217"
"org.apache.derby.impl.store.access.heap.OpenHeap.<init>() OpenHeap.java","10","< 0.1","7","1217"
"java.lang.StringBuilder.<init>(String) StringBuilder.java","65","< 0.1","6","1162"
"org.apache.derby.impl.store.access.conglomerate.GenericController.<init>() GenericController.java","2","< 0.1","2","1161"
"java.util.ArrayList$Itr.<init>(ArrayList) ArrayList.java","3","< 0.1","3","1134"
"org.apache.derby.impl.store.access.conglomerate.GenericConglomerateController.<init>() GenericConglomerateController.java","8","< 0.1","5","1133"
"org.apache.derby.impl.store.access.heap.HeapController.<init>() HeapController.java","14","< 0.1","5","1133"
"org.apache.derby.iapi.types.SQLInteger.<init>() SQLInteger.java","14","< 0.1","6","1092"
"org.apache.derby.impl.store.raw.log.LogRecord.<init>() LogRecord.java","2","< 0.1","2","1068"
"org.apache.derby.impl.sql.compile.QueryTreeNode.<init>(ContextManager) QueryTreeNode.java","2","< 0.1","2","1027"
"org.apache.derby.iapi.store.raw.FetchDescriptor.<init>(int, FormatableBitSet, Qualifier[][]) FetchDescriptor.java","20","< 0.1","5","992"
"org.apache.derby.impl.sql.execute.IndexRow.<init>(int) IndexRow.java","18","< 0.1","10","989"
