"Method","Time (ms)","Avg. Time (ms)","Own Time (ms)","Count"
"java.nio.Buffer.nextPutIndex() Buffer.java","5505","< 0.1","5505","2431730"
"java.nio.HeapByteBuffer.put(byte) HeapByteBuffer.java","16730","< 0.1","11224","2431730"
"java.lang.String.charAt(int) String.java","23038","< 0.1","9224","2006752"
"java.lang.String.checkIndex(int, int) String.java","4576","< 0.1","4559","2006752"
"java.lang.StringLatin1.charAt(byte[], int) StringLatin1.java","13813","< 0.1","9236","2006752"
"java.nio.Buffer.nextGetIndex() Buffer.java","4216","< 0.1","4216","1865893"
"java.nio.StringCharBuffer.get() StringCharBuffer.java","38618","< 0.1","12981","1865893"
"org.apache.derby.impl.jdbc.EmbedResultSet.checkIfClosed(String) EmbedResultSet.java","4228","< 0.1","4228","1860450"
"org.apache.derby.impl.drda.DDMWriter.ensureLength(int) DDMWriter.java","2635","< 0.1","2635","1154472"
"org.apache.derby.impl.jdbc.EmbedResultSet.checkOnRow() EmbedResultSet.java","2533","< 0.1","2533","1116150"
"java.lang.String.length() String.java","1794","< 0.1","1794","781427"
"org.apache.derby.impl.drda.DRDAStatement.isScrollable() DRDAStatement.java","1707","< 0.1","1707","744220"
"java.util.concurrent.ConcurrentHashMap.tabAt(ConcurrentHashMap$Node[], int) ConcurrentHashMap.java","1350","< 0.1","1350","588877"
"org.apache.derby.iapi.services.io.ArrayInputStream.setPosition(int) ArrayInputStream.java","1291","< 0.1","1291","571480"
"java.nio.Buffer.position(int) Buffer.java","1283","< 0.1","1283","564324"
"org.apache.derby.impl.drda.DDMWriter.writeByte(int) DDMWriter.java","9122","< 0.1","3941","564273"
"org.apache.derby.impl.sql.execute.BasicNoPutResultSetImpl.getLanguageConnectionContext() BasicNoPutResultSetImpl.java","1270","< 0.1","1270","558443"
"org.apache.derby.impl.jdbc.EmbedResultSet.closeCurrentStream() EmbedResultSet.java","1270","< 0.1","1270","558133"
"org.apache.derby.impl.jdbc.EmbedResultSet.isForUpdate() EmbedResultSet.java","1269","< 0.1","1269","558103"
"org.apache.derby.impl.jdbc.EmbedResultSet.checkNotOnInsertRow() EmbedResultSet.java","1261","< 0.1","1261","558075"
"java.nio.Buffer.session() Buffer.java","929","< 0.1","929","407946"
"org.apache.derby.iapi.services.io.ArrayInputStream.read() ArrayInputStream.java","907","< 0.1","907","399660"
"org.apache.derby.impl.store.raw.data.BasePage.getHeaderAtSlot(int) BasePage.java","894","< 0.1","894","393121"
"org.apache.derby.iapi.services.io.ArrayInputStream.setLimit(int) ArrayInputStream.java","861","< 0.1","861","379813"
"org.apache.derby.impl.store.raw.data.StoredFieldHeader.readFieldLengthAndSetStreamPosition(byte[], int, int, int, ArrayInputStream) StoredFieldHeader.java","2598","< 0.1","1741","379392"
"org.apache.derby.impl.jdbc.EmbedConnection.isClosed() EmbedConnection.java","2577","< 0.1","1721","374065"
"org.apache.derby.impl.jdbc.TransactionResourceImpl.isActive() TransactionResourceImpl.java","855","< 0.1","855","374065"
"org.apache.derby.impl.drda.DRDAConnThread.writeNullability(int, boolean) DRDAConnThread.java","4318","< 0.1","1288","372932"
"java.nio.CharBuffer.position(int) CharBuffer.java","2562","< 0.1","1717","372839"
"org.apache.derby.impl.sql.conn.GenericStatementContext.pleaseBeOnStack() GenericStatementContext.java","849","< 0.1","849","372804"
"org.apache.derby.impl.sql.execute.BasicNoPutResultSetImpl.isXplainOnlyMode() BasicNoPutResultSetImpl.java","2560","< 0.1","1710","372221"
"org.apache.derby.impl.drda.DDMWriter.getDSSLength() DDMWriter.java","846","< 0.1","846","372220"
"org.apache.derby.impl.drda.DDMWriter.getBufferPosition() DDMWriter.java","856","< 0.1","856","372160"
"org.apache.derby.impl.jdbc.EmbedResultSet.wasNull() EmbedResultSet.java","2590","< 0.1","1738","372052"
"org.apache.derby.impl.drda.DRDAResultSet.getRsDRDAType(int) DRDAResultSet.java","849","< 0.1","849","372050"
"org.apache.derby.impl.drda.DRDAStatement.getRsDRDAType(int) DRDAStatement.java","2562","< 0.1","1713","372050"
"org.apache.derby.impl.drda.DRDAStatement.getRsPrecision(int) DRDAStatement.java","849","< 0.1","849","372050"
"org.apache.derby.impl.drda.DRDAStatement.getRsScale(int) DRDAStatement.java","844","< 0.1","844","372050"
"org.apache.derby.impl.jdbc.EmbedResultSet.getColumn(int) EmbedResultSet.java","4280","< 0.1","2582","372050"
"org.apache.derby.impl.jdbc.EmbedResultSet.rowDeleted() EmbedResultSet.java","7719","< 0.1","4344","372050"
"java.util.concurrent.ConcurrentHashMap.get(Object) ConcurrentHashMap.java","3898","< 0.1","1719","237145"
"org.apache.derby.iapi.store.raw.PageKey.hashCode() PageKey.java","504","< 0.1","504","221794"
"java.nio.Buffer.nextPutIndex(int) Buffer.java","491","< 0.1","491","216552"
"jdk.internal.misc.ScopedMemoryAccess.putShortUnaligned(MemorySessionImpl, Object, long, short, boolean) ScopedMemoryAccess.java","1493","< 0.1","1005","215524"
"jdk.internal.misc.ScopedMemoryAccess.putShortUnalignedInternal(MemorySessionImpl, Object, long, short, boolean) ScopedMemoryAccess.java","488","< 0.1","488","215523"
"java.lang.ref.Reference.refersTo(Object) Reference.java","1470","< 0.1","982","213161"
"java.lang.ref.Reference.refersToImpl(Object) Reference.java","487","< 0.1","487","213161"
"java.lang.String.hashCode() String.java","480","< 0.1","476","207575"
"java.util.HashMap.hash(Object) HashMap.java","1414","< 0.1","944","205679"
"java.util.HashMap.getNode(Object) HashMap.java","2375","< 0.1","956","202462"
"java.util.HashMap.get(Object) HashMap.java","3251","< 0.1","927","199909"
"jdk.internal.util.Preconditions.checkFromIndexSize(int, int, int, BiFunction) Preconditions.java","452","< 0.1","452","195158"
"org.apache.derby.iapi.services.context.ContextManager.checkInterrupt() ContextManager.java","437","< 0.1","437","191994"
"org.apache.derby.impl.store.raw.data.StoredPage.getRecordOffset(int) StoredPage.java","438","< 0.1","438","191773"
"java.nio.ByteBuffer.position(int) ByteBuffer.java","1333","< 0.1","894","191485"
"org.apache.derby.iapi.types.SQLChar.isNull() SQLChar.java","434","< 0.1","434","191243"
"org.apache.derby.iapi.services.context.ContextManager.getContext(String) ContextManager.java","4871","< 0.1","1339","190872"
"org.apache.derby.impl.store.raw.data.RecordId.hashCode() RecordId.java","1305","< 0.1","873","190697"
"java.lang.ThreadLocal.get(Thread) ThreadLocal.java","3064","< 0.1","878","189741"
"java.lang.ThreadLocal$ThreadLocalMap.getEntry(ThreadLocal) ThreadLocal.java","2185","< 0.1","881","189741"
"org.apache.derby.iapi.types.SQLChar.getString() SQLChar.java","8679","< 0.1","2655","189652"
"org.apache.derby.iapi.services.io.ArrayInputStream.readDerbyUTF(char[][], int) ArrayInputStream.java","436","< 0.1","436","189626"
"org.apache.derby.iapi.types.SQLChar.readExternalFromArray(ArrayInputStream) SQLChar.java","3078","< 0.1","1781","189626"
"org.apache.derby.impl.store.raw.data.BasePage.checkSlotOnPage(int) BasePage.java","431","< 0.1","431","189617"
"java.lang.String.checkBoundsOffCount(int, int, int) String.java","1321","< 0.1","882","189488"
"org.apache.derby.impl.store.raw.data.StoredRecordHeader.size() StoredRecordHeader.java","427","< 0.1","427","189422"
"java.lang.String.<init>(char[], int, int, Void) String.java","2411","< 0.1","956","188991"
"java.lang.StringUTF16.compress(char[], int, int) StringUTF16.java","1454","< 0.1","1442","188991"
"org.apache.derby.impl.store.raw.data.BasePage.fetchFromSlot(RecordHandle, int, Object[], FetchDescriptor, boolean) BasePage.java","18073","< 0.1","1773","188939"
"org.apache.derby.impl.store.raw.data.CachedPage.fetchFromSlot(RecordHandle, int, Object[], FetchDescriptor, boolean) CachedPage.java","18941","0.1","868","188939"
"org.apache.derby.impl.store.raw.data.StoredPage.restoreRecordFromSlot(int, Object[], FetchDescriptor, RecordHandle, StoredRecordHeader, boolean) StoredPage.java","15432","< 0.1","2209","188939"
"org.apache.derby.impl.store.raw.data.StoredPage.readRecordFromArray(Object[], int, int[], int[], ArrayInputStream, StoredRecordHeader, RecordHandle) StoredPage.java","11938","< 0.1","3147","188938"
"java.lang.String.<init>(char[], int, int) String.java","6069","< 0.1","1454","188935"
"java.lang.String.rangeCheck(char[], int, int) String.java","2204","< 0.1","886","188935"
"org.apache.derby.impl.store.raw.data.StoredRecordHeader.getHandle(PageKey, int) StoredRecordHeader.java","429","< 0.1","429","188713"
"jdk.internal.util.Preconditions.checkFromToIndex(int, int, int, BiFunction) Preconditions.java","429","< 0.1","429","188622"
"java.nio.HeapByteBuffer.putInt(int) HeapByteBuffer.java","3908","< 0.1","1752","187956"
