"Allocation","Object/s (avg.)","Objects Created","Level"
"byte[]","1366","97023","1"
"scala.Some","1162","82536","1"
"java.nio.HeapByteBuffer","1092","77596","1"
"java.util.concurrent.ConcurrentSkipListMap$Node","741","52645","1"
"java.lang.Object[]","514","36535","1"
"double[]","500","35569","1"
"java.lang.Double","500","35569","1"
"java.util.ArrayList","484","34413","1"
"java.lang.Integer","424","30130","1"
"scala.Tuple2","384","27281","1"
"org.apache.kafka.common.record.DefaultRecordBatch","367","26120","1"
"java.lang.Long","331","23535","1"
"java.lang.String","317","22557","1"
"org.apache.kafka.common.record.DefaultRecordBatch$DefaultFileChannelRecordBatch","316","22466","1"
"java.util.ArrayList$Itr","316","22461","1"
"scala.collection.mutable.ArrayBufferView","256","18183","1"
"scala.collection.mutable.CheckedIndexedSeqView$CheckedIterator","256","18183","1"
"java.util.concurrent.ConcurrentSkipListMap$Index","253","18001","1"
"scala.collection.mutable.ArrayBuffer$$Lambda$1559.0x000000080158bde8","250","17761","1"
"scala.collection.mutable.HashMap","222","15822","1"
"scala.collection.mutable.HashMap$Node[]","222","15822","1"
"java.lang.StringBuilder","206","14652","1"
"scala.collection.mutable.HashMap$Node","192","13690","1"
"org.apache.kafka.common.record.RecordBatchIterator","188","13396","1"
"kafka.log.OffsetPosition","182","12954","1"
"scala.collection.mutable.ArrayBuffer","176","12529","1"
"org.apache.kafka.common.record.ByteBufferLogInputStream","171","12174","1"
"kafka.utils.Pool$$Lambda$1545.0x000000080151eaa0","169","12004","1"
"java.util.HashMap$Node","158","11286","1"
"org.apache.kafka.common.utils.ImplicitLinkedHashCollection$ImplicitLinkedHashCollectionIterator","154","10950","1"
"scala.runtime.IntRef","153","10912","1"
"java.util.HashMap$KeyIterator","142","10146","1"
"java.lang.Object","137","9745","1"
"scala.runtime.BooleanRef","136","9718","1"
"java.util.AbstractMap$SimpleImmutableEntry","127","9057","1"
"java.util.HashMap$EntryIterator","122","8724","1"
"org.apache.kafka.common.record.AbstractLegacyRecordBatch$ByteBufferLegacyRecordBatch","120","8521","1"
"org.apache.kafka.common.record.LegacyRecord","120","8521","1"
"kafka.utils.Pool$$Lambda$1544.0x0000000801546a30","117","8365","1"
"scala.collection.mutable.HashMap$$anon$6","104","7449","1"
"java.util.HashMap$Node[]","104","7417","1"
"java.nio.ByteBuffer[]","103","7376","1"
"org.apache.kafka.common.message.FetchResponseData$EpochEndOffset","103","7347","1"
"org.apache.kafka.common.message.FetchResponseData$LeaderIdAndEpoch","103","7347","1"
"org.apache.kafka.common.message.FetchResponseData$SnapshotId","103","7347","1"
"org.apache.kafka.common.TopicPartition","102","7311","1"
"scala.Tuple3","102","7288","1"
"scala.util.Right","102","7261","1"
"scala.collection.immutable.$colon$colon","97","6910","1"
"java.util.LinkedHashMap$Entry","90","6391","1"
"kafka.server.LogOffsetMetadata","85","6094","1"
"scala.runtime.ObjectRef","85","6092","1"
"scala.collection.mutable.HashMap$$anon$1","85","6085","1"
"scala.runtime.LongRef","85","6084","1"
"scala.util.Left","85","6045","1"
"kafka.network.Processor$$Lambda$1486.0x000000080153e418","84","6015","1"
"scala.collection.mutable.ListBuffer","79","5627","1"
"jdk.internal.org.objectweb.asm.SymbolTable$Entry","77","5486","1"
"kafka.network.Processor$$Lambda$1479.0x000000080150a148","75","5339","1"
"scala.collection.convert.AsScalaExtensions$IteratorHasAsScala","74","5276","1"
"scala.collection.convert.JavaCollectionWrappers$JIteratorWrapper","74","5276","1"
"org.apache.kafka.common.protocol.ByteBufferAccessor","71","5084","1"
"kafka.network.Processor$$Lambda$1493.0x0000000801540000","71","5054","1"
"kafka.network.Processor$$Lambda$1483.0x000000080153e1f8","71","5052","1"
"kafka.network.Processor$$Lambda$1482.0x0000000801501d50","69","4953","1"
"java.util.LinkedHashMap$LinkedEntryIterator","68","4897","1"
"org.apache.kafka.common.TopicIdPartition","68","4877","1"
"scala.Tuple2$mcJI$sp","68","4856","1"
"scala.math.Ordered$$anon$1","68","4856","1"
"scala.collection.mutable.ArrayBuffer$$anon$1","54","3840","1"
"kafka.network.RequestChannel$Request$$Lambda$1440.0x000000080150e8a0","52","3761","1"
"kafka.network.RequestChannel$Request$$Lambda$1442.0x000000080150f490","52","3761","1"
"java.util.Optional","52","3756","1"
"java.util.LinkedHashMap","52","3755","1"
"kafka.network.RequestMetrics$$Lambda$1503.0x0000000801537ad0","52","3714","1"
"org.apache.kafka.common.network.ByteBufferSend","51","3688","1"
"java.util.IdentityHashMap","51","3687","1"
"org.apache.kafka.common.protocol.MessageSizeAccumulator","51","3687","1"
"org.apache.kafka.common.protocol.ObjectSerializationCache","51","3687","1"
"org.apache.kafka.common.message.FetchResponseData","51","3673","1"
"org.apache.kafka.common.message.FetchResponseData$FetchableTopicResponse","51","3673","1"
"java.util.concurrent.ConcurrentLinkedQueue$Node","51","3669","1"
"kafka.server.CachedPartition","51","3662","1"
"java.util.HashMap","51","3661","1"
"scala.collection.mutable.HashMap$$anon$4","51","3651","1"
"kafka.log.LogOffsetSnapshot","50","3619","1"
"kafka.server.DelayedFetch$$Lambda$1494.0x0000000801553518","50","3603","1"
"kafka.server.DelayedFetch$$Lambda$1496.0x0000000801543870","50","3603","1"
"org.apache.kafka.common.record.AbstractRecords$$Lambda$1543.0x000000080151d0d8","50","3597","1"
"scala.collection.convert.AsScalaExtensions$CollectionHasAsScala","39","2836","1"
"scala.collection.convert.JavaCollectionWrappers$JCollectionWrapper","39","2836","1"
"org.apache.kafka.common.network.Selector$$Lambda$1522.0x0000000801543ce8","37","2690","1"
"char[]","37","2677","1"
"java.io.CharArrayWriter","35","2542","1"
"kafka.network.RequestChannel$Request","35","2542","1"
"kafka.network.RequestChannel$Session","35","2542","1"
"org.apache.kafka.common.message.RequestHeaderData","35","2542","1"
"org.apache.kafka.common.network.NetworkReceive","35","2542","1"
"org.apache.kafka.common.requests.RequestAndSize","35","2542","1"
"org.apache.kafka.common.requests.RequestContext","35","2542","1"
"org.apache.kafka.common.requests.RequestHeader","35","2542","1"
"org.apache.kafka.common.security.auth.PlaintextAuthenticationContext","35","2542","1"
"org.apache.kafka.common.network.NetworkSend","35","2540","1"
"kafka.network.RequestChannel$Request$$Lambda$1436.0x000000080150e2f8","35","2508","1"
"kafka.network.RequestChannel$Request$$Lambda$1443.0x0000000801544b58","35","2508","1"
"org.apache.kafka.common.record.MemoryRecords","35","2490","1"
"org.apache.kafka.common.utils.ImplicitLinkedHashCollection$Element[]","35","2489","1"
"org.apache.kafka.common.utils.ImplicitLinkedHashCollection$HeadElement","35","2489","1"
"kafka.network.Processor$$Lambda$1495.0x0000000801528930","34","2476","1"
"kafka.network.Processor$$Lambda$1497.0x0000000801531ce8","34","2476","1"
"kafka.network.Processor$$Lambda$1504.0x000000080154afe0","34","2476","1"
"kafka.network.Processor$$Lambda$1506.0x0000000801545868","34","2476","1"
"org.apache.kafka.common.record.MemoryRecords$$Lambda$1407.0x00000008014feac8","34","2473","1"
"java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionNode","34","2469","1"
"java.util.ArrayDeque","34","2463","1"
"java.util.concurrent.LinkedBlockingDeque$Node","34","2463","1"
"kafka.network.RequestChannel$SendResponse","34","2463","1"
"org.apache.kafka.common.message.ResponseHeaderData","34","2463","1"
"org.apache.kafka.common.protocol.SendBuilder","34","2463","1"
"org.apache.kafka.common.requests.ResponseHeader","34","2463","1"
"scala.collection.convert.AsScalaExtensions$MapHasAsScala","34","2463","1"
"scala.collection.convert.JavaCollectionWrappers$JMapWrapper","34","2463","1"
"kafka.server.KafkaRequestHandler$$Lambda$959.0x00000008014397e8","34","2452","1"
"kafka.server.KafkaApis$$Lambda$1408.0x00000008014fa3f0","34","2451","1"
"org.apache.kafka.common.network.Selector$$Lambda$1540.0x000000080156fdf8","34","2450","1"
"java.util.LinkedHashMap$LinkedEntrySet","34","2449","1"
"org.apache.kafka.common.requests.FetchResponse","34","2449","1"
"kafka.server.IncrementalFetchContext$PartitionIterator","34","2448","1"
"org.apache.kafka.common.message.FetchResponseData$PartitionData","34","2448","1"
"java.util.HashMap$EntrySet","34","2442","1"
"java.util.stream.ReferencePipeline$Head","34","2442","1"
"org.apache.kafka.common.record.AbstractLegacyRecordBatch$1","34","2435","1"
"scala.collection.convert.AsScalaExtensions$IterableHasAsScala","34","2435","1"
"scala.collection.convert.JavaCollectionWrappers$JIterableWrapper","34","2435","1"
"kafka.log.LogAppendInfo","34","2434","1"
"org.apache.kafka.common.message.ProduceResponseData$TopicProduceResponse","34","2434","1"
"scala.collection.Iterator$$anon$9","34","2431","1"
"scala.collection.convert.AsJavaExtensions$MapHasAsJava","34","2431","1"
"scala.collection.convert.JavaCollectionWrappers$MapWrapper","34","2431","1"
"scala.collection.immutable.Set$Set1","34","2431","1"
"scala.collection.immutable.SetBuilderImpl","34","2431","1"
"java.util.TreeMap$Entry","34","2428","1"
"kafka.server.EvictableKey","34","2428","1"
"kafka.server.LastUsedKey","34","2428","1"
"org.apache.kafka.common.requests.FetchRequest$PartitionData","34","2428","1"
"scala.math.Ordering$Tuple2Ordering","34","2428","1"
"scala.math.Ordering$Tuple3Ordering","34","2428","1"
"kafka.log.LogReadInfo","34","2427","1"
"kafka.network.RequestChannel$$Lambda$1538.0x0000000801593848","34","2427","1"
"kafka.network.RequestChannel$$Lambda$1539.0x00000008015941a8","34","2427","1"
"kafka.server.FetchDataInfo","34","2427","1"
"kafka.server.LogReadResult","34","2427","1"
"kafka.cluster.Partition$$Lambda$1439.0x00000008015170e8","34","2425","1"
"kafka.cluster.Partition$$Lambda$1441.0x00000008015326f8","34","2425","1"
"kafka.cluster.Partition$$Lambda$1437.0x0000000801504068","34","2424","1"
"kafka.server.TopicPartitionOperationKey","34","2422","1"
"kafka.server.ReplicaManager$$Lambda$1500.0x00000008014fbd28","34","2414","1"
"kafka.server.ReplicaManager$$Lambda$1502.0x00000008014fa698","34","2414","1"
"kafka.server.ReplicaManager$$Lambda$1505.0x0000000801546f80","34","2414","1"
"kafka.server.ReplicaManager$$Lambda$1507.0x0000000801540f58","34","2414","1"
"kafka.server.metadata.ZkMetadataCache$$Lambda$1523.0x000000080158d5f8","33","2406","1"
"kafka.log.LocalLog$$Lambda$1541.0x0000000801546cd8","33","2401","1"
"kafka.log.LocalLog$$Lambda$1542.0x0000000801503788","33","2401","1"
"org.apache.kafka.common.record.FileRecords$$Lambda$1554.0x0000000801528250","32","2287","1"
"scala.collection.StrictOptimizedLinearSeqOps$$anon$1","23","1671","1"
"java.util.concurrent.ConcurrentHashMap$Node","19","1391","1"
"org.apache.kafka.common.message.ProduceRequestData","17","1272","1"
"org.apache.kafka.common.message.ProduceRequestData$PartitionProduceData","17","1272","1"
"org.apache.kafka.common.message.ProduceRequestData$TopicProduceData","17","1272","1"
"org.apache.kafka.common.message.ProduceRequestData$TopicProduceDataCollection","17","1272","1"
"org.apache.kafka.common.requests.ProduceRequest","17","1272","1"
"org.apache.kafka.common.Uuid","17","1270","1"
"org.apache.kafka.common.message.FetchRequestData","17","1270","1"
"org.apache.kafka.common.message.FetchRequestData$FetchPartition","17","1270","1"
"org.apache.kafka.common.message.FetchRequestData$FetchTopic","17","1270","1"
"org.apache.kafka.common.requests.FetchMetadata","17","1270","1"
"org.apache.kafka.common.requests.FetchRequest","17","1270","1"
"kafka.cluster.Partition$$Lambda$1415.0x0000000801500710","17","1267","1"
"java.util.concurrent.ConcurrentLinkedQueue$Itr","17","1230","1"
"scala.collection.Iterator$$anon$6","17","1228","1"
"scala.collection.View$Filter","17","1228","1"
"java.util.concurrent.ConcurrentHashMap$ReservationNode","17","1226","1"
"java.util.concurrent.ConcurrentLinkedQueue","17","1226","1"
"java.util.concurrent.atomic.AtomicBoolean","17","1226","1"
"kafka.server.DelayedOperationPurgatory$Watchers","17","1226","1"
"scala.collection.mutable.HashSet","17","1226","1"
"scala.collection.mutable.HashSet$Node[]","17","1226","1"
"org.apache.kafka.common.record.DefaultRecordsSend","17","1225","1"
"org.apache.kafka.common.record.MultiRecordsSend","17","1225","1"
"com.typesafe.scalalogging.Logger","17","1224","1"
"java.util.ArrayList$ArrayListSpliterator","17","1224","1"
"java.util.stream.ReduceOps$5ReducingSink","17","1224","1"
"java.util.stream.ReduceOps$6","17","1224","1"
"java.util.stream.ReferencePipeline$4","17","1224","1"
"java.util.stream.ReferencePipeline$4$1","17","1224","1"
"kafka.server.FetchPartitionData","17","1224","1"
"kafka.utils.timer.TimerTaskEntry","17","1224","1"
"scala.collection.MapOps$$anon$1","17","1224","1"
"java.util.concurrent.atomic.AtomicInteger","17","1223","1"
"kafka.server.KafkaApis$$Lambda$1458.0x000000080152adc8","17","1223","1"
"kafka.server.KafkaApis$$Lambda$1459.0x000000080152b208","17","1223","1"
"kafka.server.KafkaApis$$Lambda$1460.0x0000000801527388","17","1223","1"
"org.apache.kafka.common.record.FileRecords","17","1223","1"
"org.apache.kafka.common.record.FileRecords$LogOffsetPosition","17","1223","1"
"org.apache.kafka.common.requests.FetchResponse$$Lambda$1461.0x000000080152dd60","17","1223","1"
"org.apache.kafka.common.requests.FetchResponse$$Lambda$1462.0x0000000801537278","17","1223","1"
"java.nio.DirectByteBuffer","17","1222","1"
"kafka.server.IncrementalFetchContext$$Lambda$1450.0x0000000801518de8","17","1222","1"
"kafka.server.KafkaApis$$Lambda$1444.0x0000000801515fb0","17","1222","1"
"kafka.server.KafkaApis$$Lambda$1448.0x00000008015413e8","17","1222","1"
"kafka.server.KafkaApis$$Lambda$1449.0x0000000801504810","17","1222","1"
"kafka.server.KafkaApis$$Lambda$1452.0x0000000801540580","17","1222","1"
"kafka.server.KafkaApis$$Lambda$1453.0x000000080151a470","17","1222","1"
"kafka.server.KafkaApis$$Lambda$1454.0x000000080151af90","17","1222","1"
"kafka.server.KafkaApis$$Lambda$1457.0x0000000801526fd8","17","1222","1"
"org.apache.kafka.common.record.FileLogInputStream","17","1222","1"
"scala.Tuple2$mcII$sp","17","1222","1"
"kafka.server.DelayedOperationPurgatory$$Lambda$1517.0x00000008015623e8","17","1221","1"
"kafka.server.DelayedOperationPurgatory$$Lambda$1518.0x0000000801504bc8","17","1221","1"
"scala.collection.convert.JavaCollectionWrappers$IteratorWrapper","17","1219","1"
"java.util.stream.Collectors$CollectorImpl","17","1218","1"
"java.util.stream.ReduceOps$3","17","1218","1"
"java.util.stream.ReduceOps$3ReducingSink","17","1218","1"
"java.util.zip.CRC32C","17","1218","1"
"kafka.log.LogValidator$ValidationAndOffsetAssignResult","17","1218","1"
"kafka.log.RollParams","17","1218","1"
"kafka.server.epoch.EpochEntry","17","1218","1"
"org.apache.kafka.common.record.MemoryRecordsBuilder$RecordsInfo","17","1218","1"
"org.apache.kafka.common.record.RecordConversionStats","17","1218","1"
"scala.collection.IterableOps$$Lambda$834.0x00000008013fb6b8","17","1218","1"
"scala.collection.IterableOps$WithFilter","17","1218","1"
"scala.collection.Iterator$$anon$16","17","1218","1"
"scala.collection.View$$anon$1","17","1218","1"
"scala.collection.View$ZipWithIndex","17","1218","1"
"scala.collection.convert.AsJavaExtensions$SeqHasAsJava","17","1218","1"
"scala.collection.convert.JavaCollectionWrappers$SeqWrapper","17","1218","1"
"java.io.DataOutputStream","17","1217","1"
"java.util.Spliterators$IteratorSpliterator","17","1217","1"
"java.util.TreeMap$EntryIterator","17","1217","1"
"java.util.concurrent.ConcurrentHashMap$ValueIterator","17","1217","1"
"java.util.stream.ReferencePipeline$3","17","1217","1"
