"Method","Time (ms)","Avg. Time (ms)","Own Time (ms)","Count"
"kafka.network.RequestChannel$Request.<init>(int, RequestContext, long, MemoryPool, ByteBuffer, RequestChannel$Metrics, Option) RequestChannel.scala","57","0.4","3","134"
"org.apache.kafka.common.requests.ProduceResponse.<init>(Map, int) ProduceResponse.java","23","0.3","0.5","68"
"org.apache.kafka.common.record.AbstractLegacyRecordBatch$ByteBufferLegacyRecordBatch.<init>(ByteBuffer) AbstractLegacyRecordBatch.java","11","< 0.1","6","476"
"org.apache.kafka.common.message.ProduceRequestData.<init>(Readable, short) ProduceRequestData.java","9","0.2","0.1","38"
"org.apache.kafka.common.message.FetchRequestData.<init>(Readable, short) FetchRequestData.java","8","0.2","0.1","37"
"org.apache.kafka.common.message.RequestHeaderData.<init>(Readable, short) RequestHeaderData.java","7","< 0.1","0.6","134"
"kafka.network.RequestChannel$Session.<init>(KafkaPrincipal, InetAddress) RequestChannel.scala","6","< 0.1","4","134"
"org.apache.kafka.common.message.ProduceRequestData$TopicProduceData.<init>(Readable, short) ProduceRequestData.java","5","0.1","0.1","38"
"org.apache.kafka.common.record.DefaultRecordBatch$DefaultFileChannelRecordBatch.<init>(long, byte, FileRecords, int, int) DefaultRecordBatch.java","5","< 0.1","2","461"
"org.apache.kafka.common.record.MemoryRecords.<init>(ByteBuffer) MemoryRecords.java","5","< 0.1","3","136"
"org.apache.kafka.common.utils.ImplicitLinkedHashCollection$ImplicitLinkedHashCollectionIterator.<init>(ImplicitLinkedHashCollection, int) ImplicitLinkedHashCollection.java","4","< 0.1","3","609"
"org.apache.kafka.common.record.DefaultRecordBatch.<init>(ByteBuffer) DefaultRecordBatch.java","4","< 0.1","3","809"
"org.apache.kafka.common.message.FetchRequestData$FetchTopic.<init>(Readable, short) FetchRequestData.java","4","0.1","0.2","37"
"com.sun.management.GarbageCollectionNotificationInfo.<init>(CompositeData) GarbageCollectionNotificationInfo.java","3","1","< 0.1","2"
"org.apache.kafka.common.message.ProduceRequestData$PartitionProduceData.<init>(Readable, short) ProduceRequestData.java","3","< 0.1","0.2","38"
"org.apache.kafka.common.utils.ImplicitLinkedHashMultiCollection.<init>(int) ImplicitLinkedHashMultiCollection.java","3","< 0.1","0.6","136"
"org.apache.kafka.common.record.LegacyRecord.<init>(ByteBuffer) LegacyRecord.java","3","< 0.1","2","476"
"org.apache.kafka.common.record.FileLogInputStream$FileChannelRecordBatch.<init>(long, byte, FileRecords, int, int) FileLogInputStream.java","3","< 0.1","2","461"
"org.apache.kafka.common.message.ProduceRequestData$TopicProduceDataCollection.<init>(int) ProduceRequestData.java","2","< 0.1","0.3","68"
"org.apache.kafka.common.message.FetchResponseData$PartitionData.<init>() FetchResponseData.java","2","< 0.1","2","76"
"kafka.server.CachedPartition.<init>(TopicIdPartition) FetchSession.scala","2","< 0.1","1","132"
"org.apache.kafka.common.utils.ImplicitLinkedHashCollection.<init>(int) ImplicitLinkedHashCollection.java","2","< 0.1","0.6","136"
"org.apache.kafka.common.protocol.SendBuilder.<init>(int) SendBuilder.java","2","< 0.1","2","135"
"org.apache.kafka.common.record.MemoryRecordsBuilder.<init>(ByteBuffer, byte, CompressionType, TimestampType, long, long, long, short, int, boolean, boolean, int, int) MemoryRecordsBuilder.java","2","< 0.1","0.6","68"
"scala.collection.mutable.ArrayBufferView.<init>(ArrayBuffer, Function0) ArrayBuffer.scala","2","< 0.1","0.7","150"
"scala.collection.mutable.CheckedIndexedSeqView$CheckedIterator.<init>(IndexedSeqView, Function0) CheckedIndexedSeqView.scala","2","< 0.1","0.7","150"
"org.apache.kafka.common.record.AbstractRecordBatch.<init>() AbstractRecordBatch.java","2","< 0.1","2","1182"
"scala.collection.mutable.HashMap.<init>(int, double) HashMap.scala","2","< 0.1","1","143"
"scala.collection.mutable.HashMap$$anon$6.<init>(int, double) HashMap.scala","2","< 0.1","0.8","77"
"org.apache.kafka.common.protocol.ObjectSerializationCache.<init>() ObjectSerializationCache.java","2","< 0.1","2","201"
"org.apache.kafka.common.record.RecordBatchIterator.<init>(LogInputStream) RecordBatchIterator.java","2","< 0.1","1","286"
"org.apache.kafka.common.requests.ResponseHeader.<init>(int, short) ResponseHeader.java","2","< 0.1","1","135"
"javax.management.openmbean.CompositeDataSupport.<init>(CompositeType, String[], Object[]) CompositeDataSupport.java","2","< 0.1","0.5","68"
"org.apache.kafka.common.record.AbstractRecords.<init>() AbstractRecords.java","1","< 0.1","1","78"
"org.apache.kafka.common.record.AbstractLegacyRecordBatch.<init>() AbstractLegacyRecordBatch.java","1","< 0.1","1","476"
"org.apache.kafka.common.record.AbstractRecords$1.<init>(AbstractRecords) AbstractRecords.java","1","< 0.1","0.4","68"
"org.apache.kafka.common.requests.FetchRequest.<init>(FetchRequestData, short) FetchRequest.java","1","< 0.1","0.9","65"
"org.apache.kafka.common.network.NetworkReceive.<init>(int, String, MemoryPool) NetworkReceive.java","1","< 0.1","1","134"
"org.apache.kafka.common.record.MemoryRecordsBuilder.<init>(ByteBufferOutputStream, byte, CompressionType, TimestampType, long, long, long, short, int, boolean, boolean, int, int) MemoryRecordsBuilder.java","1","< 0.1","0.3","68"
"org.apache.kafka.common.record.ByteBufferLogInputStream.<init>(ByteBuffer, int) ByteBufferLogInputStream.java","1","< 0.1","1","680"
"scala.collection.IndexedSeqView$IndexedSeqViewIterator.<init>(IndexedSeqView) IndexedSeqView.scala","1","< 0.1","0.7","150"
"scala.collection.AbstractIndexedSeqView.<init>() IndexedSeqView.scala","1","< 0.1","0.7","150"
"org.apache.kafka.common.message.FetchRequestData$FetchPartition.<init>(Readable, short) FetchRequestData.java","1","< 0.1","0.2","37"
"org.apache.kafka.common.record.MemoryRecordsBuilder.<init>(ByteBufferOutputStream, byte, CompressionType, TimestampType, long, long, long, short, int, boolean, boolean, int, int, long) MemoryRecordsBuilder.java","1","< 0.1","1","68"
"org.apache.kafka.common.requests.AbstractRequest.<init>(ApiKeys, short) AbstractRequest.java","1","< 0.1","0.5","134"
"kafka.server.DelayedFetch.<init>(FetchParams, Seq, ReplicaManager, ReplicaQuota, Function1) DelayedFetch.scala","1","< 0.1","0.2","45"
"org.apache.kafka.common.message.ProduceResponseData$TopicProduceResponseCollection.<init>(int) ProduceResponseData.java","1","< 0.1","0.3","68"
"javax.management.openmbean.CompositeDataSupport.<init>(SortedMap, CompositeType) CompositeDataSupport.java","1","< 0.1","1","68"
"org.apache.kafka.common.requests.ProduceRequest.<init>(ProduceRequestData, short) ProduceRequest.java","1","< 0.1","0.3","68"
"kafka.server.CachedPartition.<init>(TopicIdPartition, FetchRequest$PartitionData) FetchSession.scala","1","< 0.1","0.6","65"
