"Method","Time (ms)","Avg. Time (ms)","Own Time (ms)","Count"
"java.lang.Thread.run() Thread.java","13278","737","127","18"
"java.util.concurrent.locks.LockSupport.parkNanos(Object, long) LockSupport.java","7689","18","7681","419"
"kafka.network.RequestChannel.receiveRequest(long) RequestChannel.scala","7448","99","1","75"
"kafka.network.Processor.poll() SocketServer.scala","4126","13","13","309"
"org.apache.kafka.common.network.Selector.poll(long) Selector.java","4096","17","8","228"
"org.apache.kafka.common.network.Selector.pollSelectionKeys(Set, boolean, long) Selector.java","3997","13","13","287"
"org.apache.kafka.common.network.Selector.attemptWrite(SelectionKey, KafkaChannel, long) Selector.java","3947","26","2","151"
"org.apache.kafka.common.network.Selector.write(KafkaChannel) Selector.java","3944","51","1","76"
"org.apache.kafka.common.network.KafkaChannel.write() KafkaChannel.java","3938","29","0.6","135"
"org.apache.kafka.common.network.NetworkSend.writeTo(TransferableChannel) NetworkSend.java","3937","29","0.8","135"
"org.apache.kafka.common.record.MultiRecordsSend.writeTo(TransferableChannel) MultiRecordsSend.java","3929","59","3","66"
"sun.nio.ch.SocketChannelImpl.write(ByteBuffer[], int, int) SocketChannelImpl.java","3925","15","3922","257"
"org.apache.kafka.common.network.ByteBufferSend.writeTo(TransferableChannel) ByteBufferSend.java","3922","19","1","200"
"org.apache.kafka.common.network.PlaintextTransportLayer.write(ByteBuffer[]) PlaintextTransportLayer.java","3921","19","1","200"
"kafka.server.KafkaApis.handle(RequestChannel$Request, RequestLocal) KafkaApis.scala","1105","8","9","134"
"kafka.server.KafkaApis.handleProduceRequest(RequestChannel$Request, RequestLocal) KafkaApis.scala","464","6","14","68"
"kafka.server.ReplicaManager.appendRecords(long, short, boolean, AppendOrigin, Map, Function1, Option, Function1, RequestLocal) ReplicaManager.scala","322","6","6","51"
"kafka.server.DelayedFetch.tryComplete() DelayedFetch.scala","307","2","4","134"
"kafka.server.ReplicaManager.tryCompleteActions() ReplicaManager.scala","291","2","0.5","101"
"kafka.server.ActionQueue.tryCompleteActions() ActionQueue.scala","291","2","0.6","101"
"kafka.server.ReplicaManager.$anonfun$appendRecords$5(ReplicaManager, Map) ReplicaManager.scala","290","5","1","51"
"kafka.server.ReplicaManager.$anonfun$appendRecords$6(ReplicaManager, Tuple2) ReplicaManager.scala","289","5","0.8","51"
"kafka.server.DelayedOperationPurgatory.checkAndComplete(Object) DelayedOperation.scala","287","1","1","153"
