"Allocation","Object/s (avg.)","Objects Created","Level"
"byte[]","446","27653","1"
"java.lang.String","201","12510","1"
"char[]","196","12192","1"
"java.lang.Object[]","100","6239","1"
"java.lang.StringBuilder","90","5583","1"
"org.apache.tomcat.util.http.ValuesEnumerator","48","3021","1"
"com.yourkit.probes.CallStatus","41","2600","1"
"java.util.HashMap$Node","39","2477","1"
"java.util.HashMap$Node[]","29","1811","1"
"java.io.StringReader","29","1809","1"
"java.util.HashMap","29","1809","1"
"java.lang.String[]","28","1765","1"
"int[]","19","1222","1"
"jakarta.servlet.ServletRequestEvent","19","1214","1"
"java.util.ResourceBundle$KeyElementReference","19","1214","1"
"java.util.HashSet","19","1207","1"
"java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionNode","12","769","1"
"java.util.concurrent.CopyOnWriteArrayList$COWIterator","11","728","1"
"java.util.HashMap$KeyIterator","10","657","1"
"java.util.concurrent.LinkedBlockingQueue$Node","10","657","1"
"org.apache.tomcat.util.net.NioEndpoint$SocketProcessor","10","657","1"
"java.util.TreeMap","10","633","1"
"java.util.ArrayList","9","619","1"
"java.nio.HeapCharBuffer","9","613","1"
"java.util.Collections$UnmodifiableMap","9","613","1"
"java.util.LinkedHashMap","9","613","1"
"org.apache.catalina.util.ParameterMap","9","613","1"
"java.nio.HeapByteBuffer","9","612","1"
"java.util.concurrent.atomic.AtomicBoolean","9","612","1"
"java.util.ResourceBundle$CacheKey","9","607","1"
"org.apache.catalina.connector.CoyoteWriter","9","607","1"
"org.apache.tomcat.util.net.NioEndpoint$PollerEvent","9","607","1"
"jakarta.servlet.ServletRequestAttributeEvent","9","606","1"
"java.util.ResourceBundle$$Lambda$187.0x00000008011f7e10","9","606","1"
"java.util.TreeMap$ValueIterator","9","606","1"
"java.util.TreeMap$Values","9","606","1"
"java.util.regex.IntHashSet[]","9","606","1"
"org.apache.catalina.connector.ResponseFacade","9","606","1"
"java.util.regex.Matcher","9","605","1"
"org.apache.catalina.connector.RequestFacade","9","605","1"
"org.apache.tomcat.util.http.parser.Host$MessageBytesReader","9","605","1"
"java.util.TreeMap$Entry","6","401","1"
"org.apache.catalina.Container[]","4","270","1"
"org.apache.catalina.LifecycleEvent","3","239","1"
"java.text.DateFormatSymbols","3","237","1"
"java.io.File","3","228","1"
"java.util.ArrayList$Itr","3","190","1"
"java.lang.StringBuffer","2","173","1"
"java.util.Date","1","121","1"
"java.util.concurrent.ConcurrentHashMap$KeyIterator","1","109","1"
"java.util.Collections$UnmodifiableCollection$1","0.9","59","1"
"java.util.concurrent.ConcurrentLinkedQueue$Node","0.9","56","1"
"java.util.concurrent.ConcurrentHashMap$Node","0.7","46","1"
"java.util.concurrent.ConcurrentHashMap$ValueIterator","0.5","36","1"
"java.util.concurrent.locks.AbstractQueuedSynchronizer$ExclusiveNode","0.5","34","1"
"java.util.TreeMap$KeyIterator","0.4","29","1"
"java.util.TreeMap$KeySet","0.4","29","1"
"java.util.Comparator$$Lambda$156.0x000000080114e990","0.4","27","1"
"java.util.TreeSet","0.4","27","1"
"org.apache.catalina.util.ContextName","0.3","20","1"
"java.lang.Long","0.2","14","1"
"java.nio.channels.SelectionKey[]","0.1","12","1"
"java.text.DecimalFormatSymbols","0.1","8","1"
"org.apache.catalina.startup.HostConfig$DeployedApplication[]","0.1","8","1"
"sun.util.calendar.ZoneInfo","0.1","8","1"
"sun.nio.ch.SelectionKeyImpl","< 0.1","6","1"
"sun.nio.ch.SocketOptionRegistry$RegistryKey","< 0.1","6","1"
"org.apache.catalina.Session[]","< 0.1","5","1"
"boolean[]","< 0.1","4","1"
"com.yourkit.probes.ResourceCounter$MyPhantomReference","< 0.1","4","1"
"com.yourkit.probes.ResourceCounter$Resource","< 0.1","4","1"
"java.io.BufferedInputStream","< 0.1","4","1"
"java.io.FileCleanable","< 0.1","4","1"
"java.io.FileDescriptor","< 0.1","4","1"
"java.io.FileInputStream","< 0.1","4","1"
"java.io.FileInputStream$1","< 0.1","4","1"
"java.lang.Object","< 0.1","4","1"
"java.net.URI","< 0.1","4","1"
"java.net.URI$Parser","< 0.1","4","1"
"java.net.URL","< 0.1","4","1"
"java.text.DecimalFormat","< 0.1","4","1"
"java.text.DigitList","< 0.1","4","1"
"java.text.SimpleDateFormat","< 0.1","4","1"
"java.util.Calendar$Builder","< 0.1","4","1"
"java.util.GregorianCalendar","< 0.1","4","1"
"java.util.concurrent.locks.ReentrantLock","< 0.1","4","1"
"java.util.concurrent.locks.ReentrantLock$NonfairSync","< 0.1","4","1"
"jdk.internal.misc.InternalLock","< 0.1","4","1"
"sun.net.www.MessageHeader","< 0.1","4","1"
"sun.net.www.protocol.file.FileURLConnection","< 0.1","4","1"
"sun.util.calendar.Gregorian$Date","< 0.1","4","1"
