"Method","Time (ms)","Avg. Time (ms)","Own Time (ms)","Count"
"java.lang.AbstractStringBuilder.<init>(int) AbstractStringBuilder.java","41","< 0.1","41","6283"
"java.lang.String.<init>(AbstractStringBuilder, Void) String.java","95","< 0.1","43","6271"
"java.lang.String.<init>(StringBuilder) String.java","122","< 0.1","28","6089"
"java.lang.String.<init>(byte[], byte) String.java","13","< 0.1","13","5312"
"java.util.AbstractCollection.<init>() AbstractCollection.java","7","< 0.1","7","3353"
"java.lang.StringBuilder.<init>(int) StringBuilder.java","37","< 0.1","16","3347"
"java.util.AbstractMap.<init>() AbstractMap.java","7","< 0.1","7","3299"
"org.apache.tomcat.util.http.ValuesEnumerator.<init>(MimeHeaders, String) MimeHeaders.java","457","0.1","16","3269"
"java.lang.StringBuilder.<init>() StringBuilder.java","33","< 0.1","14","2754"
"java.util.HashMap$Node.<init>(int, Object, Object, HashMap$Node) HashMap.java","8","< 0.1","8","2632"
"java.io.Reader.<init>() Reader.java","6","< 0.1","6","2614"
"java.util.HashMap.<init>() HashMap.java","18","< 0.1","12","2614"
"java.util.EventObject.<init>(Object) EventObject.java","4","< 0.1","4","2211"
"java.util.AbstractSet.<init>() AbstractSet.java","13","< 0.1","9","2019"
"jakarta.servlet.ServletRequestEvent.<init>(ServletContext, ServletRequest) ServletRequestEvent.java","13","< 0.1","9","1965"
"java.lang.String.<init>(char[], int, int) String.java","58","< 0.1","13","1965"
"java.lang.String.<init>(char[], int, int, Void) String.java","23","< 0.1","9","1965"
"java.io.StringReader.<init>(String) StringReader.java","23","< 0.1","14","1959"
"java.util.HashSet.<init>() HashSet.java","54","< 0.1","27","1959"
"java.lang.ref.Reference.<init>(Object, ReferenceQueue) Reference.java","3","< 0.1","3","1328"
"java.nio.Buffer.<init>(int, int, int, int, MemorySegment) Buffer.java","36","< 0.1","8","1316"
"java.lang.ref.WeakReference.<init>(Object, ReferenceQueue) WeakReference.java","9","< 0.1","5","1310"
"java.util.ResourceBundle$KeyElementReference.<init>(Object, ReferenceQueue, ResourceBundle$CacheKey) ResourceBundle.java","15","< 0.1","6","1310"
"java.util.concurrent.CopyOnWriteArrayList$COWIterator.<init>(Object[], int) CopyOnWriteArrayList.java","2","< 0.1","2","901"
"java.util.concurrent.locks.AbstractQueuedSynchronizer$Node.<init>() AbstractQueuedSynchronizer.java","2","< 0.1","2","877"
