"Method","Time (ms)","Avg. Time (ms)","Own Time (ms)","Count"
"java.lang.String.checkIndex(int, int) String.java","767","< 0.1","767","357423"
"java.lang.String.charAt(int) String.java","3871","< 0.1","1551","357327"
"java.lang.StringLatin1.charAt(byte[], int) StringLatin1.java","2320","< 0.1","1552","357327"
"java.lang.String.length() String.java","564","< 0.1","564","263869"
"java.nio.Buffer.nextGetIndex() Buffer.java","357","< 0.1","357","146065"
"java.nio.HeapByteBuffer.get() HeapByteBuffer.java","1085","< 0.1","727","146065"
"java.nio.Buffer.position(int) Buffer.java","277","< 0.1","277","129704"
"java.nio.Buffer.limit(int) Buffer.java","226","< 0.1","226","106747"
"jdk.internal.util.Preconditions.checkFromIndexSize(int, int, int, BiFunction) Preconditions.java","192","< 0.1","192","91706"
"java.nio.CharBuffer.position(int) CharBuffer.java","578","< 0.1","386","91064"
"java.nio.CharBuffer.limit(int) CharBuffer.java","576","< 0.1","385","90396"
"java.nio.CharBuffer.limit(int) CharBuffer.java","946","< 0.1","378","89086"
"java.lang.AbstractStringBuilder.ensureCapacityInternal(int) AbstractStringBuilder.java","166","< 0.1","161","75577"
"java.lang.AbstractStringBuilder.append(char) AbstractStringBuilder.java","484","< 0.1","320","74771"
"java.lang.StringBuilder.append(char) StringBuilder.java","769","< 0.1","307","71653"
"org.apache.tomcat.util.buf.MessageBytes.equalsIgnoreCase(String) MessageBytes.java","1455","< 0.1","296","68655"
"java.nio.Buffer.session() Buffer.java","135","< 0.1","135","64172"
"java.util.Objects.checkIndex(int, int) Objects.java","149","< 0.1","149","63535"
"java.nio.Buffer.checkIndex(int) Buffer.java","439","< 0.1","293","61570"
"java.io.StringReader.ensureOpen() StringReader.java","130","< 0.1","130","60729"
"java.nio.HeapByteBuffer.put(int, byte) HeapByteBuffer.java","677","< 0.1","271","56985"
"java.nio.Buffer.checkSession() Buffer.java","360","< 0.1","241","56973"
"java.util.Objects.checkFromIndexSize(int, int, int) Objects.java","352","< 0.1","235","55663"
"org.apache.tomcat.util.buf.ByteChunk.equalsIgnoreCase(String) ByteChunk.java","905","< 0.1","305","46463"
"java.nio.CharBuffer.position(int) CharBuffer.java","480","< 0.1","191","45214"
"java.lang.String.hashCode() String.java","108","< 0.1","101","43894"
"java.nio.Buffer.reset() Buffer.java","90","< 0.1","90","43230"
"java.nio.CharBuffer.mark() CharBuffer.java","274","< 0.1","183","43230"
"java.nio.CharBuffer.mark() CharBuffer.java","90","< 0.1","90","43230"
"java.nio.CharBuffer.reset() CharBuffer.java","459","< 0.1","184","43230"
"java.nio.CharBuffer.reset() CharBuffer.java","275","< 0.1","184","43230"
"org.apache.catalina.connector.OutputBuffer.toReadMode(Buffer) OutputBuffer.java","1195","< 0.1","277","43230"
"org.apache.catalina.connector.OutputBuffer.toWriteMode(Buffer) OutputBuffer.java","1564","< 0.1","372","43230"
"org.apache.tomcat.util.buf.ByteChunk.recycle() ByteChunk.java","82","< 0.1","82","40598"
"org.apache.tomcat.util.buf.MessageBytes.recycle() MessageBytes.java","250","< 0.1","168","40598"
"java.nio.ByteBuffer.position(int) ByteBuffer.java","259","< 0.1","173","38640"
"java.lang.String.checkBoundsOffCount(int, int, int) String.java","228","< 0.1","152","36043"
"java.lang.CharacterDataLatin1.toLowerCase(int) CharacterDataLatin1.java","74","< 0.1","74","34324"
"jdk.internal.util.Preconditions.checkFromToIndex(int, int, int, BiFunction) Preconditions.java","71","< 0.1","71","34108"
"java.lang.String.checkBoundsBeginEnd(int, int, int) String.java","215","< 0.1","144","34090"
"java.lang.String.getChars(int, int, char[], int) String.java","938","< 0.1","363","34060"
"java.lang.StringLatin1.getChars(byte[], int, int, char[], int) StringLatin1.java","73","< 0.1","72","34060"
"java.util.HashMap.hash(Object) HashMap.java","207","< 0.1","132","29799"
"java.io.StringReader.mark(int) StringReader.java","179","< 0.1","120","27426"
"java.io.StringReader.read() StringReader.java","457","< 0.1","166","27426"
"java.util.HashMap.getNode(Object) HashMap.java","315","< 0.1","129","26494"
"java.nio.Buffer.nextPutIndex() Buffer.java","51","< 0.1","51","24866"
"java.nio.HeapByteBuffer.put(byte) HeapByteBuffer.java","155","< 0.1","104","24866"
"org.apache.tomcat.util.http.MimeHeaders.getName(int) MimeHeaders.java","53","< 0.1","53","24848"
"java.lang.String.equalsIgnoreCase(String) String.java","270","< 0.1","153","23646"
"java.util.HashMap.get(Object) HashMap.java","371","< 0.1","100","23045"
"java.nio.HeapCharBuffer.put(String, int, int) HeapCharBuffer.java","1336","< 0.1","279","21615"
"java.nio.HeapCharBuffer.put(char[], int, int) HeapCharBuffer.java","597","< 0.1","187","21615"
"org.apache.catalina.connector.CoyoteWriter.print(String) CoyoteWriter.java","3364","0.1","91","21615"
"org.apache.catalina.connector.CoyoteWriter.println(String) CoyoteWriter.java","6126","0.2","139","21615"
"org.apache.catalina.connector.CoyoteWriter.println() CoyoteWriter.java","2622","0.1","91","21615"
"org.apache.catalina.connector.CoyoteWriter.write(String) CoyoteWriter.java","3272","0.1","138","21615"
"org.apache.catalina.connector.CoyoteWriter.write(String, int, int) CoyoteWriter.java","3086","0.1","92","21615"
"org.apache.catalina.connector.CoyoteWriter.write(char[]) CoyoteWriter.java","2531","0.1","90","21615"
"org.apache.catalina.connector.CoyoteWriter.write(char[], int, int) CoyoteWriter.java","2440","0.1","91","21615"
"org.apache.catalina.connector.OutputBuffer.append(char[], int, int) OutputBuffer.java","2257","0.1","92","21615"
"org.apache.catalina.connector.OutputBuffer.transfer(String, int, int, CharBuffer) OutputBuffer.java","2901","0.1","185","21615"
