"Method","Time (ms)","Avg. Time (ms)","Own Time (ms)","Count"
"java.util.TreeMap$KeyIterator.<init>(TreeMap, TreeMap$Entry) TreeMap.java","1","< 0.1","0.8","128"
"java.util.TreeMap$PrivateEntryIterator.<init>(TreeMap, TreeMap$Entry) TreeMap.java","0.3","< 0.1","0.3","128"
"java.util.TreeMap$Entry.<init>(Object, Object, TreeMap$Entry) TreeMap.java","0.2","< 0.1","0.2","107"
"java.util.Collections$UnmodifiableCollection$1.<init>(Collections$UnmodifiableCollection) Collections.java","2","< 0.1","0.5","94"
"java.lang.Number.<init>() Number.java","0.1","< 0.1","0.1","54"
"java.util.AbstractCollection.<init>() AbstractCollection.java","0.1","< 0.1","0.1","54"
"java.lang.Long.<init>(long) Long.java","0.3","< 0.1","0.2","53"
"java.util.HashMap$Node.<init>(int, Object, Object, HashMap$Node) HashMap.java","0.1","< 0.1","0.1","50"
"java.util.AbstractMap.<init>() AbstractMap.java","0.1","< 0.1","0.1","41"
"java.util.AbstractSet.<init>() AbstractSet.java","0.2","< 0.1","0.1","36"
"java.util.TreeMap.<init>() TreeMap.java","0.2","< 0.1","0.1","34"
"java.util.TreeMap$KeySet.<init>(NavigableMap) TreeMap.java","0.3","< 0.1","0.1","34"
"javax.management.openmbean.CompositeDataSupport.<init>(CompositeType, String[], Object[]) CompositeDataSupport.java","42","1","0.2","34"
"javax.management.openmbean.CompositeDataSupport.<init>(SortedMap, CompositeType) CompositeDataSupport.java","34","1","2","34"
"java.util.Arrays$ArrayItr.<init>(Object[]) Arrays.java","< 0.1","< 0.1","< 0.1","30"
"sun.management.LazyCompositeData.<init>() LazyCompositeData.java","< 0.1","< 0.1","< 0.1","20"
"java.util.Collections$UnmodifiableCollection.<init>(Collection) Collections.java","< 0.1","< 0.1","< 0.1","18"
"java.lang.management.MemoryUsage.<init>(CompositeData) MemoryUsage.java","7","0.4","0.2","16"
"java.lang.management.MemoryUsage.<init>(long, long, long, long) MemoryUsage.java","0.7","< 0.1","0.7","16"
"java.util.AbstractList.<init>() AbstractList.java","0.1","< 0.1","< 0.1","16"
"java.util.Arrays$ArrayList.<init>(Object[]) Arrays.java","0.2","< 0.1","0.1","16"
"java.util.Collections$UnmodifiableList.<init>(List) Collections.java","0.1","< 0.1","< 0.1","16"
"java.util.Collections$UnmodifiableMap$UnmodifiableEntrySet$UnmodifiableEntry.<init>(Map$Entry) Collections.java","0.1","< 0.1","< 0.1","16"
"java.util.Collections$UnmodifiableRandomAccessList.<init>(List) Collections.java","0.1","< 0.1","< 0.1","16"
"java.util.LinkedHashMap$Entry.<init>(int, Object, Object, HashMap$Node) LinkedHashMap.java","0.1","< 0.1","< 0.1","16"
"sun.management.MemoryUsageCompositeData.<init>(MemoryUsage) MemoryUsageCompositeData.java","0.1","< 0.1","< 0.1","16"
"java.util.HashMap.<init>(int, float) HashMap.java","< 0.1","< 0.1","< 0.1","4"
"java.lang.reflect.AccessibleObject.<init>() AccessibleObject.java","< 0.1","< 0.1","< 0.1","3"
"java.lang.reflect.Field.<init>(Class, String, Class, int, boolean, int, String, byte[]) Field.java","< 0.1","< 0.1","< 0.1","3"
"java.lang.String.<init>(byte[], byte) String.java","< 0.1","< 0.1","< 0.1","3"
"java.util.HashMap.<init>() HashMap.java","< 0.1","< 0.1","< 0.1","3"
"java.util.stream.AbstractPipeline.<init>(Spliterator, int, boolean) AbstractPipeline.java","< 0.1","< 0.1","< 0.1","3"
"java.util.stream.MatchOps$1MatchSink.<init>(MatchOps$MatchKind, Predicate) MatchOps.java","< 0.1","< 0.1","< 0.1","3"
"java.util.stream.MatchOps$BooleanTerminalSink.<init>(MatchOps$MatchKind) MatchOps.java","< 0.1","< 0.1","< 0.1","3"
"java.util.stream.MatchOps$MatchOp.<init>(StreamShape, MatchOps$MatchKind, Supplier) MatchOps.java","< 0.1","< 0.1","< 0.1","3"
"java.util.stream.PipelineHelper.<init>() PipelineHelper.java","< 0.1","< 0.1","< 0.1","3"
"java.util.stream.ReferencePipeline.<init>(Spliterator, int, boolean) ReferencePipeline.java","< 0.1","< 0.1","< 0.1","3"
"java.util.stream.ReferencePipeline$Head.<init>(Spliterator, int, boolean) ReferencePipeline.java","< 0.1","< 0.1","< 0.1","3"
