"Method","Time (ms)","Avg. Time (ms)","Own Time (ms)","Count"
"java.lang.String.compareTo(Object) String.java","14","< 0.1","9","2094"
"java.lang.String.compareTo(String) String.java","4","< 0.1","4","2094"
"java.util.Objects.requireNonNull(Object) Objects.java","2","< 0.1","2","1229"
"java.util.TreeMap.getEntry(Object) TreeMap.java","26","< 0.1","10","1100"
"java.util.TreeMap.get(Object) TreeMap.java","22","< 0.1","3","749"
"java.util.concurrent.locks.AbstractQueuedSynchronizer.compareAndSetState(int, int) AbstractQueuedSynchronizer.java","2","< 0.1","2","592"
"java.util.concurrent.locks.AbstractQueuedSynchronizer.release(int) AbstractQueuedSynchronizer.java","12","< 0.1","7","592"
"java.util.concurrent.locks.AbstractQueuedSynchronizer.signalNext(AbstractQueuedSynchronizer$Node) AbstractQueuedSynchronizer.java","2","< 0.1","2","592"
"java.util.concurrent.locks.ReentrantLock$Sync.tryRelease(int) ReentrantLock.java","2","< 0.1","2","592"
"java.lang.Object.wait(long) Object.java","60","0.1","35","591"
"java.util.concurrent.locks.ReentrantLock.unlock() ReentrantLock.java","18","< 0.1","5","591"
"java.lang.System$2.currentCarrierThread() System.java","2","< 0.1","2","590"
"java.util.concurrent.locks.ReentrantLock.tryLock() ReentrantLock.java","13","< 0.1","5","590"
"java.util.concurrent.locks.ReentrantLock$Sync.tryLock() ReentrantLock.java","8","< 0.1","5","590"
"jdk.internal.misc.Blocker.begin() Blocker.java","13","< 0.1","5","590"
"jdk.internal.misc.Blocker.currentCarrierThread() Blocker.java","7","< 0.1","5","590"
"jdk.internal.misc.Blocker.end(long) Blocker.java","11","< 0.1","11","590"
"sun.awt.SunToolkit.awtTryLock() SunToolkit.java","19","< 0.1","5","590"
"sun.awt.SunToolkit.awtUnlock() SunToolkit.java","23","< 0.1","5","590"
"sun.java2d.pipe.RenderQueue.tryLock() RenderQueue.java","24","< 0.1","5","590"
"sun.java2d.pipe.RenderQueue.unlock() RenderQueue.java","28","< 0.1","5","590"
"java.lang.String.equals(Object) String.java","1","< 0.1","1","580"
"javax.management.openmbean.CompositeType.getType(String) CompositeType.java","18","< 0.1","2","521"
"java.util.TreeMap.successor(TreeMap$Entry) TreeMap.java","1","< 0.1","1","437"
"java.util.TreeMap$KeyIterator.next() TreeMap.java","5","< 0.1","2","421"
"java.util.TreeMap$PrivateEntryIterator.nextEntry() TreeMap.java","3","< 0.1","1","421"
"java.util.Collections$UnmodifiableCollection$1.hasNext() Collections.java","1","< 0.1","1","408"
"java.lang.String.trim() String.java","2","< 0.1","1","363"
"java.lang.StringLatin1.trim(byte[]) StringLatin1.java","0.8","< 0.1","0.8","363"
"java.util.TreeMap.containsKey(Object) TreeMap.java","9","< 0.1","1","351"
"java.util.Collections$UnmodifiableCollection$1.next() Collections.java","5","< 0.1","1","314"
"javax.management.openmbean.SimpleType.equals(Object) SimpleType.java","1","< 0.1","0.8","180"
"javax.management.openmbean.OpenType.isAssignableFrom(OpenType) OpenType.java","2","< 0.1","0.8","169"
"java.util.TreeMap.getFirstEntry() TreeMap.java","0.3","< 0.1","0.3","131"
"java.util.TreeMap.keyIterator() TreeMap.java","2","< 0.1","1","128"
