"Method","Time (ms)","Avg. Time (ms)","Own Time (ms)","Count"
"java.lang.String.length() String.java","485","< 0.1","485","226975"
"java.lang.CharacterDataLatin1.toLowerCase(int) CharacterDataLatin1.java","279","< 0.1","279","131623"
"java.lang.String.charAt(int) String.java","1453","< 0.1","582","130978"
"java.lang.String.checkIndex(int, int) String.java","288","< 0.1","288","130978"
"java.lang.StringLatin1.charAt(byte[], int) StringLatin1.java","871","< 0.1","582","130978"
"java.lang.String.hashCode() String.java","324","< 0.1","301","129259"
"java.nio.Buffer.nextGetIndex() Buffer.java","241","< 0.1","241","94544"
"java.nio.HeapByteBuffer.get() HeapByteBuffer.java","732","< 0.1","491","94544"
"java.util.concurrent.ConcurrentHashMap.tabAt(ConcurrentHashMap$Node[], int) ConcurrentHashMap.java","196","< 0.1","196","92153"
"java.lang.String.equals(Object) String.java","166","< 0.1","164","75778"
"java.util.HashMap.getNode(Object) HashMap.java","645","< 0.1","276","67235"
"org.apache.catalina.connector.RequestFacade.checkFacade() RequestFacade.java","137","< 0.1","137","63800"
"java.lang.ref.Reference.refersTo(Object) Reference.java","408","< 0.1","272","62409"
"java.lang.ref.Reference.refersToImpl(Object) Reference.java","135","< 0.1","135","62409"
"java.lang.String.startsWith(String) String.java","918","< 0.1","261","61494"
"java.lang.String.startsWith(String, int) String.java","657","< 0.1","398","61494"
"java.util.Objects.checkIndex(int, int) Objects.java","142","< 0.1","141","60313"
"java.util.HashMap.get(Object) HashMap.java","787","< 0.1","254","57854"
"java.nio.Buffer.position(int) Buffer.java","127","< 0.1","127","57769"
"java.io.StringReader.ensureOpen() StringReader.java","125","< 0.1","125","57629"
"java.util.HashMap.hash(Object) HashMap.java","412","< 0.1","249","56780"
"java.nio.ByteBuffer.position(int) ByteBuffer.java","327","< 0.1","219","49065"
"java.util.concurrent.ConcurrentHashMap.get(Object) ConcurrentHashMap.java","526","< 0.1","296","45061"
"java.nio.Buffer.checkIndex(int) Buffer.java","329","< 0.1","219","44782"
"java.nio.HeapByteBuffer.put(int, byte) HeapByteBuffer.java","517","< 0.1","207","42294"
"org.apache.tomcat.util.buf.MessageBytes.equalsIgnoreCase(String) MessageBytes.java","1087","< 0.1","183","41571"
"java.util.ArrayList$Itr.checkForComodification() ArrayList.java","79","< 0.1","79","37298"
"java.util.ArrayList$Itr.next() ArrayList.java","238","< 0.1","159","37298"
"org.apache.tomcat.util.buf.ByteChunk.equalsIgnoreCase(String) ByteChunk.java","785","< 0.1","244","34159"
"org.apache.tomcat.util.buf.ByteChunk.recycle() ByteChunk.java","68","< 0.1","68","32901"
"java.lang.Class.getName() Class.java","70","< 0.1","70","32477"
"java.nio.Buffer.limit(int) Buffer.java","70","< 0.1","70","32282"
"org.apache.tomcat.util.buf.MessageBytes.recycle() MessageBytes.java","199","< 0.1","134","31659"
"java.lang.ref.ReferenceQueue.poll() ReferenceQueue.java","65","< 0.1","65","30879"
"java.lang.AbstractStringBuilder.ensureCapacityInternal(int) AbstractStringBuilder.java","111","< 0.1","76","29459"
"java.nio.Buffer.session() Buffer.java","58","< 0.1","58","26689"
"java.nio.ByteBuffer.limit(int) ByteBuffer.java","175","< 0.1","117","26688"
"java.io.StringReader.mark(int) StringReader.java","171","< 0.1","114","26026"
"java.io.StringReader.read() StringReader.java","443","< 0.1","161","26026"
"java.util.AbstractCollection.<init>() AbstractCollection.java","52","< 0.1","52","24350"
"java.nio.ByteBuffer.limit(int) ByteBuffer.java","252","< 0.1","101","22967"
"java.lang.AbstractStringBuilder.append(char) AbstractStringBuilder.java","146","< 0.1","97","22198"
"java.util.WeakHashMap.expungeStaleEntries() WeakHashMap.java","143","< 0.1","96","22167"
"java.util.WeakHashMap.get(Object) WeakHashMap.java","725","< 0.1","198","22167"
"java.util.WeakHashMap.getTable() WeakHashMap.java","240","< 0.1","96","22167"
"java.util.WeakHashMap.hash(Object) WeakHashMap.java","47","< 0.1","47","22167"
"java.util.WeakHashMap.matchesKey(WeakHashMap$Entry, Object) WeakHashMap.java","239","< 0.1","95","22167"
"org.springframework.util.MimeType.isWildcardType() MimeType.java","140","< 0.1","92","21735"
"org.apache.tomcat.util.buf.MessageBytes.toString() MessageBytes.java","904","< 0.1","53","21521"
"java.lang.ref.SoftReference.get() SoftReference.java","45","< 0.1","45","21310"
"java.util.AbstractMap.<init>() AbstractMap.java","45","< 0.1","45","21212"
"java.lang.StringBuilder.append(char) StringBuilder.java","230","< 0.1","92","21078"
"java.util.concurrent.locks.AbstractQueuedSynchronizer.compareAndSetState(int, int) AbstractQueuedSynchronizer.java","48","< 0.1","48","20585"
"java.nio.ByteBuffer.position(int) ByteBuffer.java","238","< 0.1","95","20504"
"org.apache.catalina.connector.Request.getAttribute(String) Request.java","855","< 0.1","184","19273"
