"Allocation","Object/s (avg.)","Objects Created","Level"
"java.lang.Object[]","567","34613","1"
"byte[]","407","24832","1"
"java.lang.String","316","19307","1"
"java.util.ArrayList$Itr","207","12655","1"
"java.util.ArrayList","207","12644","1"
"java.util.concurrent.ConcurrentHashMap$Node","176","10762","1"
"char[]","167","10217","1"
"com.yourkit.probes.CallStatus","152","9324","1"
"java.util.LinkedHashMap","127","7805","1"
"java.util.concurrent.ConcurrentHashMap","78","4802","1"
"org.apache.tomcat.util.http.ValuesEnumerator","78","4795","1"
"java.util.HashMap$Node[]","68","4205","1"
"java.util.HashMap","68","4202","1"
"java.nio.HeapByteBuffer","68","4189","1"
"java.lang.Class[]","59","3620","1"
"java.lang.StringBuilder","59","3599","1"
"java.nio.HeapCharBuffer","58","3585","1"
"java.util.LinkedHashMap$Entry","49","3025","1"
"java.util.HashSet","49","2992","1"
"java.util.HashMap$Node","39","2427","1"
"com.fasterxml.jackson.databind.ser.DefaultSerializerProvider$Impl","39","2415","1"
"java.lang.annotation.Annotation[]","39","2412","1"
"java.lang.String[]","32","1993","1"
"java.util.Collections$UnmodifiableCollection$1","31","1905","1"
"java.util.LinkedHashSet","29","1811","1"
"java.util.concurrent.atomic.AtomicReference","29","1811","1"
"int[]","29","1810","1"
"org.springframework.core.ResolvableType","29","1810","1"
"org.springframework.core.annotation.TypeMappedAnnotations","29","1810","1"
"org.springframework.web.context.request.ServletWebRequest","29","1805","1"
"java.util.LinkedHashMap$LinkedKeyIterator","29","1802","1"
"java.io.StringReader","29","1789","1"
"java.lang.ThreadLocal$ThreadLocalMap$Entry","29","1785","1"
"java.util.TreeMap$KeyIterator","21","1326","1"
"java.util.TreeMap","20","1228","1"
"java.util.LinkedHashMap$LinkedValues","19","1210","1"
"com.fasterxml.jackson.core.json.JsonWriteContext","19","1208","1"
"org.springframework.http.MediaType","19","1208","1"
"org.springframework.http.MediaType$$Lambda$720.0x000000080145af50","19","1208","1"
"java.util.Formatter$FixedString","19","1206","1"
"java.util.concurrent.CopyOnWriteArrayList$COWIterator","19","1206","1"
"java.util.concurrent.atomic.AtomicBoolean","19","1206","1"
"org.springframework.core.convert.support.GenericConversionService$ConverterCacheKey","19","1206","1"
