"Method","Time (ms)","Avg. Time (ms)","Own Time (ms)","Count"
"java.util.AbstractCollection.<init>() AbstractCollection.java","49","< 0.1","49","22604"
"java.util.AbstractMap.<init>() AbstractMap.java","46","< 0.1","46","20701"
"java.util.ArrayList$Itr.<init>(ArrayList) ArrayList.java","33","< 0.1","33","13182"
"java.util.AbstractList.<init>() AbstractList.java","86","< 0.1","58","13162"
"java.lang.String.<init>(byte[], byte) String.java","29","< 0.1","29","11897"
"java.util.concurrent.ConcurrentHashMap$Node.<init>(int, Object, Object) ConcurrentHashMap.java","28","< 0.1","28","11280"
"java.util.ArrayList.<init>() ArrayList.java","107","< 0.1","45","9390"
"java.util.HashMap.<init>(int, float) HashMap.java","98","< 0.1","59","8768"
"java.nio.Buffer.<init>(int, int, int, int, MemorySegment) Buffer.java","239","< 0.1","56","8140"
"java.util.AbstractSet.<init>() AbstractSet.java","50","< 0.1","33","7556"
"java.util.HashMap$Node.<init>(int, Object, Object, HashMap$Node) HashMap.java","16","< 0.1","16","6319"
"java.util.HashMap.<init>() HashMap.java","39","< 0.1","26","5633"
"java.util.HashMap.<init>(int) HashMap.java","79","< 0.1","22","5010"
"java.util.concurrent.ConcurrentHashMap.<init>(int) ConcurrentHashMap.java","90","< 0.1","23","5008"
"java.util.concurrent.ConcurrentHashMap.<init>(int, float, int) ConcurrentHashMap.java","66","< 0.1","34","5008"
"org.apache.tomcat.util.http.ValuesEnumerator.<init>(MimeHeaders, String) MimeHeaders.java","437","< 0.1","25","5004"
"java.lang.String.<init>(char[], int, int) String.java","134","< 0.1","30","4385"
"java.lang.String.<init>(char[], int, int, Void) String.java","53","< 0.1","21","4385"
"java.nio.ByteBuffer.<init>(int, int, int, int, byte[], int, MemorySegment) ByteBuffer.java","149","< 0.1","20","4383"
"java.lang.AbstractStringBuilder.<init>(int) AbstractStringBuilder.java","29","< 0.1","29","3867"
"java.lang.String.<init>(AbstractStringBuilder, Void) String.java","61","< 0.1","28","3867"
"java.lang.String.<init>(StringBuilder) String.java","79","< 0.1","18","3810"
