"Method","Time (ms)","Avg. Time (ms)","Own Time (ms)","Count"
"java.lang.String.length() String.java","465","< 0.1","465","213710"
"java.lang.String.hashCode() String.java","381","< 0.1","358","153313"
"java.lang.CharacterDataLatin1.toLowerCase(int) CharacterDataLatin1.java","288","< 0.1","288","132672"
"java.lang.String.charAt(int) String.java","1455","< 0.1","582","129508"
"java.lang.String.checkIndex(int, int) String.java","288","< 0.1","288","129508"
"java.lang.StringLatin1.charAt(byte[], int) StringLatin1.java","873","< 0.1","584","129508"
"java.nio.Buffer.nextGetIndex() Buffer.java","246","< 0.1","246","95304"
"java.nio.HeapByteBuffer.get() HeapByteBuffer.java","747","< 0.1","500","95304"
"java.util.concurrent.ConcurrentHashMap.tabAt(ConcurrentHashMap$Node[], int) ConcurrentHashMap.java","203","< 0.1","203","94054"
"java.util.HashMap.hash(Object) HashMap.java","555","< 0.1","330","74020"
"java.util.HashMap.getNode(Object) HashMap.java","786","< 0.1","313","68318"
"java.util.Objects.checkIndex(int, int) Objects.java","150","< 0.1","150","63297"
"java.util.HashMap.get(Object) HashMap.java","937","< 0.1","265","59508"
"java.nio.Buffer.position(int) Buffer.java","129","< 0.1","129","58222"
"java.io.StringReader.ensureOpen() StringReader.java","127","< 0.1","127","58094"
"java.lang.String.startsWith(String) String.java","795","< 0.1","225","51958"
"java.lang.String.startsWith(String, int) String.java","569","< 0.1","344","51958"
"java.nio.ByteBuffer.position(int) ByteBuffer.java","335","< 0.1","224","49454"
"java.util.concurrent.ConcurrentHashMap.get(Object) ConcurrentHashMap.java","558","< 0.1","314","46654"
"java.lang.String.equals(Object) String.java","108","< 0.1","105","46366"
"java.lang.ref.Reference.refersTo(Object) Reference.java","307","< 0.1","206","46145"
"java.lang.ref.Reference.refersToImpl(Object) Reference.java","101","< 0.1","101","46145"
"java.nio.Buffer.checkIndex(int) Buffer.java","337","< 0.1","225","45142"
"org.apache.tomcat.util.buf.MessageBytes.equalsIgnoreCase(String) MessageBytes.java","1126","< 0.1","191","43148"
"java.nio.HeapByteBuffer.put(int, byte) HeapByteBuffer.java","531","< 0.1","213","42634"
"org.apache.tomcat.util.buf.ByteChunk.recycle() ByteChunk.java","82","< 0.1","82","39414"
"java.util.ArrayList$Itr.checkForComodification() ArrayList.java","81","< 0.1","81","37596"
"java.util.ArrayList$Itr.next() ArrayList.java","246","< 0.1","165","37596"
"org.apache.tomcat.util.buf.ByteChunk.equalsIgnoreCase(String) ByteChunk.java","812","< 0.1","256","35676"
"java.lang.Class.getName() Class.java","78","< 0.1","78","35152"
"java.nio.Buffer.limit(int) Buffer.java","72","< 0.1","72","32536"
"org.apache.tomcat.util.buf.MessageBytes.recycle() MessageBytes.java","198","< 0.1","132","31288"
"java.lang.ref.ReferenceQueue.poll() ReferenceQueue.java","67","< 0.1","67","31133"
"java.nio.Buffer.session() Buffer.java","59","< 0.1","59","26904"
"java.nio.ByteBuffer.limit(int) ByteBuffer.java","180","< 0.1","120","26900"
