"Allocation","Object/s (avg.)","Objects Created","Level"
"byte[]","3888","244955","1"
"java.lang.String","2119","133537","1"
"org.cactoos.text.TextOfScalar","1945","122581","1"
"org.cactoos.text.TextOf","1945","122574","1"
"org.cactoos.text.Mapped","1077","67857","1"
"org.cactoos.text.Mapped$$Lambda$107.0x00000008010c6eb8","1077","67857","1"
"org.cactoos.bytes.BytesOf","872","54997","1"
"org.cactoos.text.TextOf$$Lambda$88.0x0000000801009ed8","868","54723","1"
"org.cactoos.bytes.BytesOf$$Lambda$105.0x00000008010c6890","855","53905","1"
"java.util.LinkedList$Node","799","50340","1"
"org.cactoos.text.Trimmed","712","44861","1"
"org.takes.misc.Opt$Single","615","38756","1"
"org.takes.misc.Opt$Empty","589","37153","1"
"java.lang.Object[]","457","28808","1"
"java.util.LinkedList","382","24082","1"
"java.util.ArrayList","334","21071","1"
"org.cactoos.scalar.Checked","313","19727","1"
"org.cactoos.text.Lowered$$Lambda$109.0x00000008010c7b38","312","19704","1"
"org.cactoos.text.UncheckedText","300","18945","1"
"org.cactoos.text.Lowered","288","18203","1"
"java.lang.String[]","278","17518","1"
"java.util.HashMap$Node","248","15629","1"
"java.util.HashMap$Node[]","173","10952","1"
"java.lang.StringBuilder","147","9298","1"
"java.util.Formatter$FormatSpecifier","134","8486","1"
"org.cactoos.func.UncheckedFunc","130","8220","1"
"java.util.LinkedList$ListItr","125","7889","1"
"org.cactoos.iterable.IterableOf","102","6458","1"
"org.cactoos.iterable.IterableOf$$Lambda$110.0x00000008010c5630","95","6027","1"
"java.util.concurrent.atomic.AtomicInteger","91","5753","1"
"org.cactoos.iterator.IteratorOf","91","5753","1"
"java.util.Formatter$FixedString","91","5750","1"
"org.cactoos.scalar.IoChecked","86","5426","1"
"int[]","78","4930","1"
"org.cactoos.scalar.Unchecked","77","4912","1"
"java.util.Formatter","73","4654","1"
"org.cactoos.list.ListOf","56","3561","1"
"org.cactoos.text.FormattedText$$Lambda$112.0x00000008010c8238","52","3287","1"
"org.cactoos.text.FormattedText","52","3286","1"
"org.cactoos.iterator.Mapped$1$$Lambda$131.0x00000008010cdab8","39","2466","1"
"org.cactoos.scalar.Mapped","39","2466","1"
"org.cactoos.scalar.Mapped$$Lambda$132.0x00000008010cdcc8","39","2466","1"
"java.util.regex.IntHashSet[]","39","2465","1"
"java.util.regex.Matcher","39","2465","1"
"java.util.HashMap","34","2193","1"
"org.takes.rs.ResponseOf","34","2192","1"
"char[]","30","1920","1"
"java.nio.HeapCharBuffer","30","1918","1"
"org.cactoos.func.UncheckedFunc$$Lambda$134.0x00000008010d0650","30","1918","1"
"org.cactoos.iterator.Filtered$$Lambda$135.0x00000008010d0860","30","1918","1"
"java.net.InetSocketAddress$InetSocketAddressHolder","30","1900","1"
