"Method","Time (ms)","Avg. Time (ms)","Own Time (ms)","Count"
"org.cactoos.text.TextEnvelope.<init>(Text) TextEnvelope.java","435","< 0.1","435","254369"
"org.cactoos.text.TextOf.<init>(Text) TextOf.java","626","< 0.1","419","120717"
"org.cactoos.text.TextOfScalar.<init>(Scalar) TextOfScalar.java","221","< 0.1","221","120717"
"java.lang.String.<init>(byte[], byte) String.java","131","< 0.1","131","72222"
"org.cactoos.text.Mapped.<init>(Func, Text) Mapped.java","2665","< 0.1","691","66826"
"org.cactoos.text.TextOf.<init>(Scalar) TextOf.java","1033","< 0.1","557","66826"
"java.util.AbstractCollection.<init>() AbstractCollection.java","105","< 0.1","105","60950"
"java.util.AbstractList.<init>() AbstractList.java","315","< 0.1","211","60373"
"org.cactoos.bytes.BytesOf.<init>(Bytes) BytesOf.java","93","< 0.1","93","54160"
"org.cactoos.text.TextOf.<init>(Bytes, Charset) TextOf.java","1612","< 0.1","567","53891"
"org.cactoos.bytes.BytesOf.<init>(CharSequence, Charset) BytesOf.java","1039","< 0.1","290","53080"
"java.lang.String.<init>(byte[], Charset) String.java","1190","< 0.1","186","52544"
"java.lang.String.<init>(byte[], int, int, Charset) String.java","1004","< 0.1","388","52544"
"java.util.LinkedList$Node.<init>(LinkedList$Node, Object, LinkedList$Node) LinkedList.java","98","< 0.1","98","49581"
"org.cactoos.text.UncheckedText.<init>(Text) UncheckedText.java","430","< 0.1","260","49317"
"org.cactoos.text.UncheckedText.<init>(Text, Func) UncheckedText.java","85","< 0.1","85","49317"
"org.cactoos.text.Trimmed.<init>(Text) Trimmed.java","2396","< 0.1","478","44198"
"org.takes.misc.Opt$Single.<init>(Object) Opt.java","76","< 0.1","76","38295"
"org.takes.misc.Opt$Empty.<init>() Opt.java","92","< 0.1","92","38292"
"org.cactoos.text.TextOf.<init>(String) TextOf.java","1965","< 0.1","122","31801"
"org.cactoos.text.TextOf.<init>(CharSequence, Charset) TextOf.java","1842","< 0.1","271","31801"
"java.util.AbstractSequentialList.<init>() AbstractSequentialList.java","207","< 0.1","82","23708"
"java.util.LinkedList.<init>() LinkedList.java","297","< 0.1","90","23708"
"org.cactoos.text.TextOf.<init>(Bytes) TextOf.java","740","< 0.1","77","22090"
"org.cactoos.bytes.BytesOf.<init>(CharSequence) BytesOf.java","497","< 0.1","80","21279"
"org.cactoos.text.TextOf.<init>(CharSequence) TextOf.java","1377","< 0.1","189","21010"
"java.util.ArrayList.<init>() ArrayList.java","188","< 0.1","78","20748"
"org.cactoos.scalar.IoChecked.<init>(Scalar) IoChecked.java","35","< 0.1","35","20177"
"org.cactoos.text.Lowered.<init>(Text) Lowered.java","1341","< 0.1","67","19398"
"org.cactoos.text.Lowered.<init>(Text, Locale) Lowered.java","1273","< 0.1","207","19398"
"org.cactoos.scalar.Checked.<init>(Scalar, Func) Checked.java","33","< 0.1","33","19370"
"org.cactoos.scalar.Unchecked.<init>(Scalar) Unchecked.java","28","< 0.1","28","15873"
"java.util.ArrayList$SubList.<init>(ArrayList, int, int) ArrayList.java","135","< 0.1","54","15631"
"java.util.HashMap$Node.<init>(int, Object, Object, HashMap$Node) HashMap.java","30","< 0.1","30","15411"
"org.cactoos.iterable.IterableOf.<init>(Scalar) IterableOf.java","17","< 0.1","17","9686"
"java.lang.AbstractStringBuilder.<init>(int) AbstractStringBuilder.java","50","< 0.1","50","9165"
"java.util.Formatter$FormatSpecifier.<init>(char) Formatter.java","163","< 0.1","46","8350"
"java.lang.Number.<init>() Number.java","14","< 0.1","14","8128"
"org.cactoos.func.UncheckedFunc.<init>(Func) UncheckedFunc.java","16","< 0.1","16","8070"
"java.util.LinkedList$ListItr.<init>(LinkedList, int) LinkedList.java","43","< 0.1","29","7815"
"org.cactoos.iterable.IterableEnvelope.<init>(Iterable) IterableEnvelope.java","12","< 0.1","12","7265"
"java.lang.String.<init>(StringBuilder) String.java","120","< 0.1","28","6740"
"java.lang.String.<init>(AbstractStringBuilder, Void) String.java","91","< 0.1","42","6740"
"java.lang.StringBuilder.<init>() StringBuilder.java","64","< 0.1","28","6204"
"org.cactoos.iterable.IterableOf.<init>(Object[]) IterableOf.java","120","< 0.1","32","5920"
"java.util.Formatter$FixedString.<init>(String, int, int) Formatter.java","11","< 0.1","11","5654"
"java.util.concurrent.atomic.AtomicInteger.<init>(int) AtomicInteger.java","30","< 0.1","21","5651"
"org.cactoos.iterator.IteratorOf.<init>(Object[]) IteratorOf.java","74","< 0.1","43","5651"
"java.util.Formatter.<init>(Locale, Appendable) Formatter.java","8","< 0.1","8","4578"
"org.cactoos.text.Lowered.<init>(CharSequence) Lowered.java","619","0.1","39","4306"
"org.cactoos.collection.CollectionEnvelope.<init>(Collection) CollectionEnvelope.java","18","< 0.1","12","3499"
"org.cactoos.list.ListEnvelope.<init>(List) ListEnvelope.java","30","< 0.1","12","3499"
"org.cactoos.list.ListOf.<init>(Object[]) ListOf.java","703","0.2","20","3499"
"org.cactoos.list.ListOf.<init>(Iterable) ListOf.java","611","0.1","87","3499"
"java.util.Arrays$ArrayItr.<init>(Object[]) Arrays.java","5","< 0.1","5","3264"
"org.cactoos.text.FormattedText.<init>(String, Object[]) FormattedText.java","1172","0.3","31","3230"
"org.cactoos.text.FormattedText.<init>(CharSequence, Collection) FormattedText.java","482","0.1","17","3230"
"org.cactoos.text.FormattedText.<init>(CharSequence, Locale, Collection) FormattedText.java","448","0.1","28","3230"
"org.cactoos.text.FormattedText.<init>(Text, Locale, Collection) FormattedText.java","210","< 0.1","33","3230"
"org.takes.rs.RsWrap.<init>(Response) RsWrap.java","5","< 0.1","5","3228"
"java.lang.StringBuilder.<init>(int) StringBuilder.java","25","< 0.1","11","2961"
"java.util.AbstractMap.<init>() AbstractMap.java","4","< 0.1","4","2736"
"org.takes.rq.RqWrap.<init>(Request) RqWrap.java","4","< 0.1","4","2696"
"java.util.Formatter.<init>() Formatter.java","73","< 0.1","30","2695"
"java.util.regex.Matcher.<init>(Pattern, CharSequence) Matcher.java","53","< 0.1","31","2422"
"org.cactoos.scalar.Mapped.<init>(Func, Scalar) Mapped.java","46","< 0.1","12","2421"
"org.cactoos.scalar.ScalarEnvelope.<init>(Scalar) ScalarEnvelope.java","4","< 0.1","4","2421"
"java.util.HashMap.<init>(int, float) HashMap.java","19","< 0.1","11","2160"
"java.util.HashMap.<init>(int) HashMap.java","27","< 0.1","8","2158"
"java.nio.Buffer.<init>(int, int, int, int, MemorySegment) Buffer.java","49","< 0.1","11","2152"
"org.takes.rs.ResponseOf.<init>(Scalar, Scalar) ResponseOf.java","32","< 0.1","24","2152"
"java.net.InetSocketAddress.<init>(InetAddress, int) InetSocketAddress.java","50","< 0.1","34","1887"
"java.net.InetSocketAddress$InetSocketAddressHolder.<init>(String, InetAddress, int) InetSocketAddress.java","4","< 0.1","4","1887"
"java.net.SocketAddress.<init>() SocketAddress.java","4","< 0.1","4","1887"
"java.nio.CharBuffer.<init>(int, int, int, int, char[], int, MemorySegment) CharBuffer.java","49","< 0.1","6","1883"
"java.nio.HeapCharBuffer.<init>(char[], int, int, MemorySegment) HeapCharBuffer.java","57","< 0.1","7","1883"
"java.util.Formatter.<init>(Appendable, Locale) Formatter.java","16","< 0.1","10","1883"
"org.cactoos.scalar.Not.<init>(Scalar) Not.java","3","< 0.1","3","1883"
"org.cactoos.text.StartsWith.<init>(Text, Text) StartsWith.java","3","< 0.1","3","1883"
"org.cactoos.iterable.Mapped.<init>(Func, Iterable) Mapped.java","43","< 0.1","17","1614"
"org.cactoos.iterator.IteratorEnvelope.<init>(Iterator) IteratorEnvelope.java","2","< 0.1","2","1614"
"org.cactoos.iterator.Mapped.<init>(Func, Iterator) Mapped.java","20","< 0.1","14","1614"
"org.cactoos.iterator.Mapped$1.<init>(Iterator, Func) Mapped.java","3","< 0.1","3","1614"
"java.lang.Long.<init>(long) Long.java","8","< 0.1","5","1398"
"java.net.Inet4Address.<init>() Inet4Address.java","32","< 0.1","9","1347"
"java.net.InetAddress.<init>() InetAddress.java","23","< 0.1","18","1347"
"java.net.InetAddress$InetAddressHolder.<init>() InetAddress.java","4","< 0.1","4","1347"
"org.takes.misc.VerboseIterator.<init>(Iterator, Text) VerboseIterator.java","22","< 0.1","10","1347"
"org.cactoos.bytes.BytesOf.<init>(byte[]) BytesOf.java","26","< 0.1","7","1080"
"org.cactoos.text.TextOf.<init>(byte[]) TextOf.java","81","< 0.1","11","1080"
"java.lang.Integer.<init>(int) Integer.java","6","< 0.1","4","1079"
"java.net.URI.<init>(String) URI.java","3335","3","11","1078"
"java.net.URI$Parser.<init>(URI, String) URI.java","2","< 0.1","2","1078"
"org.takes.misc.VerboseList.<init>(List, Text) VerboseList.java","2","< 0.1","2","1078"
