"Method","Time (ms)","Avg. Time (ms)","Own Time (ms)","Count"
"java.lang.CharacterDataLatin1.toLowerCase(int) CharacterDataLatin1.java","505","< 0.1","505","293390"
"java.lang.String.charAt(int) String.java","2412","< 0.1","968","282343"
"java.lang.String.checkIndex(int, int) String.java","477","< 0.1","477","282343"
"java.lang.StringLatin1.charAt(byte[], int) StringLatin1.java","1444","< 0.1","966","282343"
"org.cactoos.text.TextEnvelope.<init>(Text) TextEnvelope.java","435","< 0.1","435","254369"
"org.cactoos.text.TextEnvelope.asString() TextEnvelope.java","7299","< 0.1","853","244139"
"java.lang.invoke.DirectMethodHandle.allocateInstance(Object) DirectMethodHandle.java","1158","< 0.1","1158","227916"
"java.lang.invoke.Invokers$Holder.linkToTargetMethod(Object, Object, Object) Invokers$Holder","2339","< 0.1","688","188064"
"java.lang.invoke.DirectMethodHandle$Holder.newInvokeSpecial(Object, Object, Object) DirectMethodHandle$Holder","1650","< 0.1","703","188063"
"java.lang.String.indexOf(int, int) String.java","814","< 0.1","539","157110"
"java.lang.StringLatin1.indexOf(byte[], int, int) StringLatin1.java","274","< 0.1","271","157110"
"jdk.internal.util.Preconditions.checkFromIndexSize(int, int, int, BiFunction) Preconditions.java","251","< 0.1","251","132634"
"org.cactoos.text.TextOf.<init>(Text) TextOf.java","626","< 0.1","419","120717"
"org.cactoos.text.TextOfScalar.<init>(Scalar) TextOfScalar.java","221","< 0.1","221","120717"
"org.cactoos.text.TextOfScalar.asString() TextOfScalar.java","6778","< 0.1","414","118023"
"java.lang.invoke.Invokers$Holder.linkToTargetMethod(Object) Invokers$Holder","217","< 0.1","217","115307"
"java.lang.String.indexOf(int) String.java","985","< 0.1","392","115076"
"java.util.Arrays.copyOfRange(byte[], int, int) Arrays.java","537","< 0.1","537","111569"
"java.lang.String.length() String.java","190","< 0.1","190","109409"
"java.lang.ref.Reference.refersTo(Object) Reference.java","473","< 0.1","317","78322"
"java.lang.ref.Reference.refersToImpl(Object) Reference.java","155","< 0.1","155","78322"
"java.util.Objects.checkFromIndexSize(int, int, int) Objects.java","475","< 0.1","316","78206"
"java.lang.System$2.getCarrierThreadLocal(CarrierThreadLocal) System.java","1726","< 0.1","313","77668"
"java.lang.ThreadLocal.get(Thread) ThreadLocal.java","1100","< 0.1","314","77668"
"java.lang.ThreadLocal.getCarrierThreadLocal() ThreadLocal.java","1413","< 0.1","313","77668"
"java.lang.ThreadLocal$ThreadLocalMap.getEntry(ThreadLocal) ThreadLocal.java","786","< 0.1","317","77668"
"java.nio.Buffer.session() Buffer.java","154","< 0.1","154","77668"
"jdk.internal.misc.CarrierThreadLocal.get() CarrierThreadLocal.java","2041","< 0.1","314","77668"
"java.lang.Integer.valueOf(int) Integer.java","165","< 0.1","159","76586"
"sun.nio.ch.NioSocketImpl.ensureOpenAndConnected() NioSocketImpl.java","149","< 0.1","149","74700"
"java.net.URI.match(char, long, long) URI.java","122","< 0.1","122","72765"
"java.lang.String.<init>(byte[], byte) String.java","131","< 0.1","131","72222"
"java.util.Objects.requireNonNull(Object) Objects.java","124","< 0.1","124","71809"
"org.cactoos.text.Mapped.<init>(Func, Text) Mapped.java","2665","< 0.1","691","66826"
"org.cactoos.text.TextOf.<init>(Scalar) TextOf.java","1033","< 0.1","557","66826"
"org.cactoos.text.Mapped.lambda$new$0(Func, Text) Mapped.java","6494","< 0.1","353","65479"
"java.util.AbstractCollection.<init>() AbstractCollection.java","105","< 0.1","105","60950"
"java.util.Arrays.copyOf(byte[], int) Arrays.java","303","< 0.1","303","60624"
"java.util.AbstractList.<init>() AbstractList.java","315","< 0.1","211","60373"
"java.util.regex.Pattern.lambda$union$3(Pattern$CharPredicate, Pattern$CharPredicate, int) Pattern.java","257","< 0.1","210","56759"
"java.lang.String.checkBoundsOffCount(int, int, int) String.java","281","< 0.1","188","54428"
"org.cactoos.bytes.BytesOf.<init>(Bytes) BytesOf.java","93","< 0.1","93","54160"
"org.cactoos.text.TextOf.<init>(Bytes, Charset) TextOf.java","1612","< 0.1","567","53891"
"org.cactoos.bytes.BytesOf.<init>(CharSequence, Charset) BytesOf.java","1039","< 0.1","290","53080"
"org.cactoos.bytes.BytesOf.asBytes() BytesOf.java","1371","< 0.1","197","52813"
"java.lang.String.<init>(byte[], Charset) String.java","1190","< 0.1","186","52544"
