"Method","Time (ms)","Avg. Time (ms)","Own Time (ms)","Count"
"org.apache.derby.impl.drda.DRDAConnThread.run() DRDAConnThread.java","292361","58472","0","5"
"org.apache.derby.impl.drda.DRDAConnThread.processCommands() DRDAConnThread.java","292359","428","0","682"
"org.apache.derby.impl.drda.DRDAConnThread.writeQRYDTA(DRDAStatement) DRDAConnThread.java","264424","2034","1751","130"
"org.apache.derby.impl.drda.DRDAConnThread.writeFDODTA(DRDAStatement) DRDAConnThread.java","260913","1","16819","194361"
"org.apache.derby.impl.jdbc.EmbedResultSet.next() EmbedResultSet.java","136265","0.7","845","194212"
"org.apache.derby.impl.jdbc.EmbedResultSet.movePosition(int, int, String) EmbedResultSet.java","135420","0.6","6469","194212"
"org.apache.derby.impl.sql.execute.BasicNoPutResultSetImpl.getNextRow() BasicNoPutResultSetImpl.java","90562","0.4","1733","194212"
"org.apache.derby.impl.sql.execute.BulkTableScanResultSet.getNextRowCore() BulkTableScanResultSet.java","78729","0.4","3880","194212"
"org.apache.derby.impl.sql.execute.BulkTableScanResultSet.reloadArray() BulkTableScanResultSet.java","54588","4","54","12227"
"org.apache.derby.impl.store.access.heap.HeapScan.fetchNextGroup(DataValueDescriptor[][], RowLocation[]) HeapScan.java","54533","4","54","12227"
"org.apache.derby.impl.store.access.conglomerate.GenericScanController.fetchRows(DataValueDescriptor[][], RowLocation[], BackingStoreHashtable, long, int[]) GenericScanController.java","54478","4","2261","12227"
"org.apache.derby.impl.store.raw.data.CachedPage.fetchFromSlot(RecordHandle, int, Object[], FetchDescriptor, boolean) CachedPage.java","32922","0.1","875","200394"
"org.apache.derby.impl.store.raw.data.BasePage.fetchFromSlot(RecordHandle, int, Object[], FetchDescriptor, boolean) BasePage.java","32046","0.1","2214","200394"
"org.apache.derby.impl.drda.DRDAConnThread.writeFdocaVal(int, Object, int, int, int, boolean, DRDAStatement, boolean) DRDAConnThread.java","30957","0.1","1298","196531"
"org.apache.derby.impl.store.raw.data.StoredPage.restoreRecordFromSlot(int, Object[], FetchDescriptor, RecordHandle, StoredRecordHeader, boolean) StoredPage.java","28527","0.1","4359","200394"
"org.apache.derby.impl.drda.DDMWriter.writeLDString(String, int, DRDAStatement, boolean) DDMWriter.java","26749","0.1","2137","194965"
"org.apache.derby.impl.drda.DDMWriter.writeString(String) DDMWriter.java","22519","0.1","8160","195114"
"org.apache.derby.impl.drda.DRDAConnThread.parseEXCSQLIMM() DRDAConnThread.java","21275","111","0","191"
"org.apache.derby.impl.jdbc.EmbedStatement.execute(String, boolean, boolean, int, int[], String[]) EmbedStatement.java","21169","110","0","191"
"org.apache.derby.impl.jdbc.EmbedStatement.executeLargeUpdate(String) EmbedStatement.java","21169","110","0","191"
"org.apache.derby.impl.store.raw.data.StoredPage.readRecordFromArray(Object[], int, int[], int[], ArrayInputStream, StoredRecordHeader, RecordHandle) StoredPage.java","20716","0.1","7114","200394"
"org.apache.derby.impl.jdbc.EmbedResultSet.getString(int) EmbedResultSet.java","15638","< 0.1","2573","194147"
"org.apache.derby.impl.jdbc.EmbedStatement.executeStatement(Activation, boolean, boolean) EmbedStatement.java","13301","32","4","407"
"org.apache.derby.impl.jdbc.EmbedResultSet.checkIfClosed(String) EmbedResultSet.java","12579","< 0.1","8434","1941798"
"org.apache.derby.impl.store.access.conglomerate.OpenConglomerate.lockPositionForRead(RowPosition, RowPosition, boolean, boolean) OpenConglomerate.java","11551","< 0.1","1697","194952"
"org.apache.derby.impl.jdbc.ConnectionChild.setupContextStack() ConnectionChild.java","11464","< 0.1","847","195301"
