"Method","Time (ms)","Avg. Time (ms)","Own Time (ms)","Count"
"java.lang.Thread.run() Thread.java","35844","3258","0.3","11"
"org.eclipse.jetty.util.thread.QueuedThreadPool$Runner.run() QueuedThreadPool.java","35840","4480","0.1","8"
"org.eclipse.jetty.util.thread.QueuedThreadPool$Runner.doRunJob(Runnable) QueuedThreadPool.java","35838","4479","< 0.1","8"
"org.eclipse.jetty.util.thread.QueuedThreadPool.runJob(Runnable) QueuedThreadPool.java","35838","4479","< 0.1","8"
"org.eclipse.jetty.util.thread.ReservedThreadExecutor$ReservedThread.run() ReservedThreadExecutor.java","35803","8950","55","4"
"org.eclipse.jetty.util.thread.strategy.AdaptiveExecutionStrategy.tryProduce(boolean) AdaptiveExecutionStrategy.java","35382","21","54","1621"
"org.eclipse.jetty.util.thread.strategy.AdaptiveExecutionStrategy.lambda$new$0() AdaptiveExecutionStrategy.java","35367","21","10","1620"
"org.eclipse.jetty.util.thread.strategy.AdaptiveExecutionStrategy.consumeTask(Runnable, AdaptiveExecutionStrategy$SubStrategy) AdaptiveExecutionStrategy.java","31455","19","31","1619"
"org.eclipse.jetty.util.thread.strategy.AdaptiveExecutionStrategy.runTask(Runnable) AdaptiveExecutionStrategy.java","31258","19","10","1619"
"org.eclipse.jetty.io.SelectableChannelEndPoint$1.run() SelectableChannelEndPoint.java","31248","19","15","1619"
"org.eclipse.jetty.io.FillInterest.fillable() FillInterest.java","31227","19","28","1619"
"org.eclipse.jetty.io.AbstractConnection$ReadCallback.succeeded() AbstractConnection.java","31119","19","10","1619"
"org.eclipse.jetty.server.HttpConnection.onFillable() HttpConnection.java","31108","19","102","1619"
"org.eclipse.jetty.server.HttpChannel.handle() HttpChannel.java","20626","12","123","1618"
"org.eclipse.jetty.server.HttpChannel.dispatch(DispatcherType, HttpChannel$Dispatchable) HttpChannel.java","14202","8","33","1618"
"org.eclipse.jetty.server.HttpChannel.lambda$handle$0() HttpChannel.java","14011","8","26","1619"
"org.eclipse.jetty.server.Server.handle(HttpChannel) Server.java","13962","8","41","1619"
"org.eclipse.jetty.server.handler.HandlerWrapper.handle(String, Request, HttpServletRequest, HttpServletResponse) HandlerWrapper.java","13834","4","18","3238"
"org.eclipse.jetty.server.handler.StatisticsHandler.handle(String, Request, HttpServletRequest, HttpServletResponse) StatisticsHandler.java","13825","8","78","1619"
"org.eclipse.jetty.server.handler.RequestLogHandler.handle(String, Request, HttpServletRequest, HttpServletResponse) RequestLogHandler.java","13045","8","21","1619"
"io.dropwizard.jetty.ZipExceptionHandlingGzipHandler.handle(String, Request, HttpServletRequest, HttpServletResponse) ZipExceptionHandlingGzipHandler.java","13012","8","8","1619"
"org.eclipse.jetty.server.handler.gzip.GzipHandler.handle(String, Request, HttpServletRequest, HttpServletResponse) GzipHandler.java","13004","8","116","1619"
"io.dropwizard.jetty.RoutingHandler.handle(String, Request, HttpServletRequest, HttpServletResponse) RoutingHandler.java","12091","7","16","1619"
"org.eclipse.jetty.server.handler.ScopedHandler.handle(String, Request, HttpServletRequest, HttpServletResponse) ScopedHandler.java","12067","7","12","1619"
"org.eclipse.jetty.server.handler.ContextHandler.doScope(String, Request, HttpServletRequest, HttpServletResponse) ContextHandler.java","12051","7","78","1619"
"org.eclipse.jetty.server.handler.ScopedHandler.nextScope(String, Request, HttpServletRequest, HttpServletResponse) ScopedHandler.java","11829","3","7","3238"
"org.eclipse.jetty.servlet.ServletHandler.doScope(String, Request, HttpServletRequest, HttpServletResponse) ServletHandler.java","11821","7","10","1619"
"org.eclipse.jetty.server.handler.ContextHandler.doHandle(String, Request, HttpServletRequest, HttpServletResponse) ContextHandler.java","11587","7","0","1619"
"org.eclipse.jetty.server.handler.ScopedHandler.nextHandle(String, Request, HttpServletRequest, HttpServletResponse) ScopedHandler.java","11559","7","0","1619"
"org.eclipse.jetty.servlet.ServletHandler.doHandle(String, Request, HttpServletRequest, HttpServletResponse) ServletHandler.java","11559","7","0","1619"
"org.eclipse.jetty.servlet.FilterHolder.doFilter(ServletRequest, ServletResponse, FilterChain) FilterHolder.java","11492","7","0","1619"
"org.eclipse.jetty.servlet.ServletHandler$Chain.doFilter(ServletRequest, ServletResponse) ServletHandler.java","11492","7","0","1619"
"io.dropwizard.jersey.filter.AllowedMethodsFilter.doFilter(ServletRequest, ServletResponse, FilterChain) AllowedMethodsFilter.java","11484","7","215","1618"
"io.dropwizard.jersey.filter.AllowedMethodsFilter.handle(HttpServletRequest, HttpServletResponse, FilterChain) AllowedMethodsFilter.java","11117","6","14","1618"
"org.eclipse.jetty.servlet.ServletHandler$ChainEnd.doFilter(ServletRequest, ServletResponse) ServletHandler.java","11099","6","13","1618"
"org.eclipse.jetty.servlet.ServletHolder.handle(Request, ServletRequest, ServletResponse) ServletHolder.java","11082","6","13","1618"
"jakarta.servlet.http.HttpServlet.service(ServletRequest, ServletResponse) HttpServlet.java","11065","3","17","3236"
"io.dropwizard.metrics.servlets.AdminServlet.service(HttpServletRequest, HttpServletResponse) AdminServlet.java","11056","6","59","1618"
"jakarta.servlet.http.HttpServlet.service(HttpServletRequest, HttpServletResponse) HttpServlet.java","10829","6","17","1618"
"io.dropwizard.metrics.servlets.HealthCheckServlet.doGet(HttpServletRequest, HttpServletResponse) HealthCheckServlet.java","10804","6","48","1618"
"com.fasterxml.jackson.databind.ObjectWriter.writeValue(OutputStream, Object) ObjectWriter.java","9227","5","12","1618"
"com.fasterxml.jackson.databind.ObjectWriter._writeValueAndClose(JsonGenerator, Object) ObjectWriter.java","8752","5","21","1618"
"org.eclipse.jetty.server.HttpConnection.parseRequestBuffer() HttpConnection.java","8316","1","77","4855"
"org.eclipse.jetty.http.HttpParser.parseNext(ByteBuffer) HttpParser.java","7675","1","58","4855"
"com.fasterxml.jackson.core.json.UTF8JsonGenerator.close() UTF8JsonGenerator.java","6196","3","47","1618"
"ch.qos.logback.core.spi.AppenderAttachableImpl.appendLoopOnAppenders(Object) AppenderAttachableImpl.java","5613","1","24","3236"
"org.eclipse.jetty.server.HttpOutput.close() HttpOutput.java","5555","1","59","3236"
"ch.qos.logback.core.UnsynchronizedAppenderBase.doAppend(Object) UnsynchronizedAppenderBase.java","5535","1","52","3236"
"org.eclipse.jetty.http.HttpParser.parseFields(ByteBuffer) HttpParser.java","5237","3","230","1618"
"org.eclipse.jetty.server.HttpChannel.onCompleted() HttpChannel.java","5078","3","24","1618"
"org.eclipse.jetty.server.HttpOutput.channelWrite(ByteBuffer, boolean, Callback) HttpOutput.java","4649","2","22","1618"
"org.eclipse.jetty.server.handler.gzip.GzipHttpOutputInterceptor.write(ByteBuffer, boolean, Callback) GzipHttpOutputInterceptor.java","4616","2","13","1618"
"org.eclipse.jetty.server.handler.gzip.GzipHttpOutputInterceptor.commit(ByteBuffer, boolean, Callback) GzipHttpOutputInterceptor.java","4599","2","71","1618"
"org.eclipse.jetty.server.HttpChannel.write(ByteBuffer, boolean, Callback) HttpChannel.java","4131","2","8","1618"
"org.eclipse.jetty.server.HttpChannel.sendResponse(MetaData$Response, ByteBuffer, boolean, Callback) HttpChannel.java","4123","2","54","1618"
"org.eclipse.jetty.server.HttpConnection.send(MetaData$Request, MetaData$Response, ByteBuffer, boolean, Callback) HttpConnection.java","3647","2","17","1618"
"org.eclipse.jetty.util.IteratingCallback.iterate() IteratingCallback.java","3485","2","16","1618"
"org.eclipse.jetty.util.IteratingCallback.processing() IteratingCallback.java","3404","2","34","1618"
"ch.qos.logback.core.AsyncAppenderBase$Worker.run() AsyncAppenderBase.java","3368","3368","47","1"
"org.eclipse.jetty.util.thread.strategy.AdaptiveExecutionStrategy.produceTask() AdaptiveExecutionStrategy.java","3160","1","11","1621"
"org.eclipse.jetty.io.ManagedSelector$SelectorProducer.produce() ManagedSelector.java","3148","1","54","1621"
