"Method","Time (ms)","Avg. Time (ms)","Own Time (ms)","Count"
"java.lang.Thread.run() Thread.java","113","28","0","4"
"sun.java2d.opengl.OGLRenderQueue$QueueFlusher.run() OGLRenderQueue.java","107","107","39","1"
"com.sun.management.internal.GarbageCollectorExtImpl.createGCNotification(long, String, String, String, GcInfo) GarbageCollectorExtImpl.java","52","52","< 0.1","1"
"com.sun.management.internal.GarbageCollectionNotifInfoCompositeData.toCompositeData(GarbageCollectionNotificationInfo) GarbageCollectionNotifInfoCompositeData.java","45","45","< 0.1","1"
"com.sun.management.internal.GarbageCollectionNotifInfoCompositeData.getCompositeData() GarbageCollectionNotifInfoCompositeData.java","45","45","< 0.1","1"
"com.sun.management.internal.GcInfoCompositeData.toCompositeData(GcInfo) GcInfoCompositeData.java","42","42","< 0.1","1"
"com.sun.management.internal.GcInfoCompositeData.getCompositeData() GcInfoCompositeData.java","42","42","< 0.1","1"
"sun.management.MappedMXBeanType$MapMXBeanType.toOpenTypeData(Object) MappedMXBeanType.java","40","20","0.4","2"
"sun.java2d.pipe.RenderQueue.tryLock() RenderQueue.java","32","< 0.1","13","590"
"sun.java2d.pipe.RenderQueue.unlock() RenderQueue.java","30","< 0.1","4","590"
"javax.management.openmbean.CompositeDataSupport.<init>(CompositeType, String[], Object[]) CompositeDataSupport.java","30","0.8","0.2","34"
"sun.awt.SunToolkit.awtUnlock() SunToolkit.java","25","< 0.1","4","590"
"javax.management.openmbean.CompositeDataSupport.<init>(SortedMap, CompositeType) CompositeDataSupport.java","24","0.7","2","34"
"java.util.concurrent.locks.AbstractQueuedSynchronizer.release(int) AbstractQueuedSynchronizer.java","21","< 0.1","7","592"
"sun.awt.SunToolkit.awtTryLock() SunToolkit.java","19","< 0.1","5","590"
"javax.management.openmbean.CompositeType.isAssignableFrom(OpenType) CompositeType.java","18","0.3","3","57"
"javax.management.openmbean.CompositeType.isValue(Object) CompositeType.java","17","0.5","0.2","33"
"java.util.concurrent.locks.ReentrantLock$Sync.tryLock() ReentrantLock.java","13","< 0.1","8","590"
"sun.management.MappedMXBeanType$CompositeDataMXBeanType.toOpenTypeData(Object) MappedMXBeanType.java","13","0.8","0.1","16"
"sun.management.MemoryUsageCompositeData.toCompositeData(MemoryUsage) MemoryUsageCompositeData.java","13","0.8","0.1","16"
"sun.management.MemoryUsageCompositeData.getCompositeData() MemoryUsageCompositeData.java","12","0.8","0.2","16"
"javax.management.openmbean.TabularDataSupport.put(CompositeData) TabularDataSupport.java","12","0.7","< 0.1","16"
"javax.management.openmbean.TabularDataSupport.internalPut(CompositeData) TabularDataSupport.java","12","0.7","0.2","16"
"javax.management.openmbean.TabularDataSupport.checkValueAndIndex(CompositeData) TabularDataSupport.java","11","0.7","0.1","16"
"java.util.concurrent.locks.ReentrantLock$Sync.tryRelease(int) ReentrantLock.java","11","< 0.1","7","592"
"javax.management.openmbean.TabularDataSupport.checkValueType(CompositeData) TabularDataSupport.java","9","0.6","0.1","16"
"sun.management.NotificationEmitterSupport.sendNotification(Notification) NotificationEmitterSupport.java","6","6","< 0.1","1"
"com.yourkit.an.ar.invoke(Object, Object[]) a","6","1","< 0.1","4"
"com.sun.management.GarbageCollectionNotificationInfo.from(CompositeData) GarbageCollectionNotificationInfo.java","6","6","< 0.1","1"
"com.sun.management.GarbageCollectionNotificationInfo.<init>(CompositeData) GarbageCollectionNotificationInfo.java","6","6","< 0.1","1"
"javax.management.openmbean.CompositeType.getType(String) CompositeType.java","6","< 0.1","2","521"
"javax.management.openmbean.CompositeDataSupport.makeMap(String[], Object[]) CompositeDataSupport.java","5","0.1","0.8","34"
"org.h2.server.web.WebThread.run() WebThread.java","5","2","0","2"
"java.util.Collections$UnmodifiableSet.equals(Object) Collections.java","5","0.1","1","34"
"java.util.Collections$UnmodifiableCollection$1.next() Collections.java","5","< 0.1","1","314"
"java.util.TreeMap.get(Object) TreeMap.java","5","< 0.1","3","749"
"java.util.TreeMap$KeyIterator.next() TreeMap.java","5","< 0.1","1","421"
"com.sun.management.internal.GarbageCollectionNotifInfoCompositeData.getGcInfo(CompositeData) GarbageCollectionNotifInfoCompositeData.java","4","4","< 0.1","1"
"com.sun.management.GcInfo.from(CompositeData) GcInfo.java","4","4","< 0.1","1"
"com.sun.management.GcInfo.<init>(CompositeData) GcInfo.java","4","4","< 0.1","1"
"java.util.concurrent.locks.AbstractQueuedSynchronizer.getState() AbstractQueuedSynchronizer.java","4","< 0.1","4","1182"
"java.util.TreeMap.put(Object, Object) TreeMap.java","4","< 0.1","0.5","107"
"org.h2.util.IOUtils.closeSilently(AutoCloseable) IOUtils.java","3","0.9","< 0.1","4"
"java.net.Socket.close() Socket.java","3","0.6","2","6"
"java.util.TreeMap.put(Object, Object, boolean) TreeMap.java","3","< 0.1","0.5","107"
"java.net.Socket$SocketOutputStream.close() Socket.java","3","1","< 0.1","2"
"sun.management.MappedMXBeanType$MapMXBeanType.toJavaTypeData(Object) MappedMXBeanType.java","3","1","0.2","2"
"java.util.TreeMap$PrivateEntryIterator.nextEntry() TreeMap.java","3","< 0.1","2","421"
"java.util.Collections$UnmodifiableCollection.iterator() Collections.java","3","< 0.1","0.4","94"
"javax.management.openmbean.OpenType.isAssignableFrom(OpenType) OpenType.java","2","< 0.1","0.9","169"
"java.util.Collections$UnmodifiableCollection$1.hasNext() Collections.java","2","< 0.1","1","408"
"java.util.TreeMap$KeySet.iterator() TreeMap.java","2","< 0.1","0.6","128"
"java.util.TreeMap.addEntry(Object, Object, TreeMap$Entry, boolean) TreeMap.java","2","< 0.1","0.5","73"
"java.util.Collections$UnmodifiableCollection$1.<init>(Collections$UnmodifiableCollection) Collections.java","2","< 0.1","0.4","94"
"java.util.TreeMap.getEntry(Object) TreeMap.java","2","< 0.1","2","1100"
"sun.management.MappedMXBeanType$CompositeDataMXBeanType.toJavaTypeData(Object) MappedMXBeanType.java","2","0.1","< 0.1","16"
"sun.management.LazyCompositeData.isTypeMatched(CompositeType, CompositeType) LazyCompositeData.java","2","0.1","< 0.1","19"
"java.util.TreeMap.containsKey(Object) TreeMap.java","2","< 0.1","1","351"
"java.util.concurrent.locks.AbstractQueuedSynchronizer.compareAndSetState(int, int) AbstractQueuedSynchronizer.java","2","< 0.1","2","590"
"jdk.internal.reflect.DelegatingMethodAccessorImpl.invoke(Object, Object[]) DelegatingMethodAccessorImpl.java","2","0.1","< 0.1","16"
"java.util.concurrent.locks.AbstractQueuedSynchronizer.signalNext(AbstractQueuedSynchronizer$Node) AbstractQueuedSynchronizer.java","2","< 0.1","2","592"
"javax.management.openmbean.CompositeDataSupport.get(String) CompositeDataSupport.java","2","< 0.1","0.8","121"
"jdk.internal.reflect.GeneratedMethodAccessor1.invoke(Object, Object[])","2","0.1","< 0.1","16"
"java.lang.management.MemoryUsage.from(CompositeData) MemoryUsage.java","2","0.1","< 0.1","16"
"java.util.TreeMap.keyIterator() TreeMap.java","2","< 0.1","0.9","128"
"javax.management.openmbean.TabularType.isAssignableFrom(OpenType) TabularType.java","2","0.5","< 0.1","4"
"sun.java2d.pipe.RenderBuffer.position() RenderBuffer.java","2","< 0.1","2","590"
"java.lang.management.MemoryUsage.<init>(CompositeData) MemoryUsage.java","2","0.1","0.2","16"
"javax.management.openmbean.SimpleType.equals(Object) SimpleType.java","2","< 0.1","1","180"
"java.util.concurrent.locks.AbstractQueuedSynchronizer.setState(int) AbstractQueuedSynchronizer.java","2","< 0.1","2","592"
"org.h2.server.web.WebThread.process() WebThread.java","2","1","0","2"
"org.h2.server.web.WebThread.readHeaderLine() WebThread.java","2","1","0","2"
"java.net.Socket$SocketInputStream.read(byte[], int, int) Socket.java","1","0.9","< 0.1","2"
"sun.nio.ch.NioSocketImpl$1.read(byte[], int, int) NioSocketImpl.java","1","0.9","0.7","2"
"java.util.TreeMap.fixAfterInsertion(TreeMap$Entry) TreeMap.java","1","< 0.1","1","73"
