"Method","Time (ms)","Avg. Time (ms)","Own Time (ms)","Count"
"java.lang.Thread.run() Thread.java","35463","1363","0","26"
"kafka.server.KafkaRequestHandler.run() KafkaRequestHandler.scala","18999","2374","84","8"
"kafka.server.KafkaApis.handle(RequestChannel$Request, RequestLocal) KafkaApis.scala","18245","16","44","1134"
"kafka.server.KafkaApis.handleProduceRequest(RequestChannel$Request, RequestLocal) KafkaApis.scala","17137","15","134","1134"
"kafka.network.Processor.run() SocketServer.scala","15606","5202","111","3"
"kafka.server.ReplicaManager.appendRecords(long, short, boolean, AppendOrigin, Map, Function1, Option, Function1, RequestLocal) ReplicaManager.scala","14898","13","49","1134"
"scala.collection.mutable.HashMap.map(Function1) HashMap.scala","10792","2","21","4536"
"scala.collection.StrictOptimizedMapOps.map$(StrictOptimizedMapOps, Function1) StrictOptimizedMapOps.scala","10771","2","21","4536"
"scala.collection.StrictOptimizedMapOps.map(Function1) StrictOptimizedMapOps.scala","10749","2","113","4536"
"kafka.server.ReplicaManager.appendToLocalLog(boolean, AppendOrigin, Map, short, RequestLocal) ReplicaManager.scala","9636","8","13","1134"
"kafka.server.ReplicaManager.$anonfun$appendToLocalLog$6(ReplicaManager, boolean, AppendOrigin, short, RequestLocal, boolean, Tuple2) ReplicaManager.scala","9246","8","115","1134"
"kafka.cluster.Partition.appendRecordsToLeader(MemoryRecords, AppendOrigin, int, RequestLocal) Partition.scala","8385","7","76","1134"
"kafka.cluster.Partition.$anonfun$appendRecordsToLeader$1(Partition, int, MemoryRecords, AppendOrigin, RequestLocal) Partition.scala","8068","7","47","1134"
"kafka.log.UnifiedLog.appendAsLeader(MemoryRecords, int, AppendOrigin, MetadataVersion, RequestLocal) UnifiedLog.scala","7238","6","9","1134"
"kafka.log.UnifiedLog.append(MemoryRecords, AppendOrigin, MetadataVersion, boolean, int, Option, boolean) UnifiedLog.scala","7222","6","297","1134"
"kafka.network.Processor.poll() SocketServer.scala","6310","1","49","3805"
"kafka.network.Processor.processCompletedSends() SocketServer.scala","6174","1","56","3805"
"org.apache.kafka.common.network.Selector.poll(long) Selector.java","6094","1","173","3811"
"kafka.network.Processor.$anonfun$processCompletedSends$1(Processor, NetworkSend) SocketServer.scala","6081","5","35","1135"
"kafka.network.Processor.updateRequestMetrics(RequestChannel$Response) SocketServer.scala","5669","4","19","1135"
"kafka.network.RequestChannel$Request.updateRequestMetrics(long, RequestChannel$Response) RequestChannel.scala","5563","4","90","1135"
"scala.collection.immutable.List.foreach(Function1) List.scala","5007","2","23","2294"
"kafka.network.RequestChannel$Request.$anonfun$updateRequestMetrics$1$adapted(RequestChannel$Request, double, double, double, double, double, double, double, String) RequestChannel.scala","4938","4","5","1135"
"kafka.network.RequestChannel$Request.$anonfun$updateRequestMetrics$1(RequestChannel$Request, double, double, double, double, double, double, double, String) RequestChannel.scala","4932","4","84","1135"
"com.yammer.metrics.core.Histogram.update(long) Histogram.java","4620","0.4","175","11350"
"com.yammer.metrics.stats.ExponentiallyDecayingSample.update(long) ExponentiallyDecayingSample.java","3880","0.3","74","11350"
"com.yammer.metrics.stats.ExponentiallyDecayingSample.update(long, long) ExponentiallyDecayingSample.java","3680","0.3","238","11350"
"kafka.server.KafkaApis.$anonfun$handleProduceRequest$9$adapted(KafkaApis, Map, Map, Map, RequestChannel$Request, ProduceRequest, Map) KafkaApis.scala","3551","3","6","1135"
"kafka.server.KafkaApis.$anonfun$handleProduceRequest$9(KafkaApis, Map, Map, Map, RequestChannel$Request, ProduceRequest, Map) KafkaApis.scala","3545","3","5","1135"
"kafka.server.KafkaApis.sendResponseCallback$2(Map, Map, Map, Map, RequestChannel$Request, ProduceRequest) KafkaApis.scala","3539","3","65","1135"
"org.apache.kafka.common.network.Selector.pollSelectionKeys(Set, boolean, long) Selector.java","2915","0.6","182","4538"
"kafka.log.LogValidator$.validateMessagesAndAssignOffsets(MemoryRecords, TopicPartition, LongRef, Time, long, CompressionCodec, CompressionCodec, boolean, byte, TimestampType, long, int, AppendOrigin, MetadataVersion, BrokerTopicStats, RequestLocal) LogValidator.scala","2885","2","9","1134"
"kafka.log.LogValidator$.convertAndAssignOffsetsNonCompressed(MemoryRecords, TopicPartition, LongRef, boolean, Time, long, TimestampType, long, byte, int, AppendOrigin, BrokerTopicStats) LogValidator.scala","2759","2","92","1134"
"org.apache.kafka.common.metrics.Sensor.record(double, long, boolean) Sensor.java","2639","0.1","116","14429"
"org.apache.kafka.common.metrics.Sensor.recordInternal(double, long, boolean) Sensor.java","2373","0.1","384","14429"
"kafka.network.Processor.processCompletedReceives() SocketServer.scala","1877","0.4","68","3805"
"java.util.LinkedHashMap$LinkedValues.forEach(Consumer) LinkedHashMap.java","1769","0.4","14","3805"
"kafka.network.Processor.$anonfun$processCompletedReceives$1(Processor, NetworkReceive) SocketServer.scala","1755","1","93","1134"
"java.util.concurrent.ConcurrentSkipListMap.doPut(Object, Object, boolean) ConcurrentSkipListMap.java","1678","0.1","573","11350"
"scala.Option.foreach(Function1) Option.scala","1646","0.1","99","12525"
"kafka.log.LogValidator$.$anonfun$convertAndAssignOffsetsNonCompressed$1(TopicPartition, RecordBatch, AppendOrigin, byte, BrokerTopicStats, long, TimestampType, long, boolean, MemoryRecordsBuilder, LongRef, MutableRecordBatch) LogValidator.scala","1447","1","35","1134"
"kafka.network.RequestChannel.sendResponse(RequestChannel$Request, AbstractResponse, Option) RequestChannel.scala","1439","1","31","1135"
"java.util.concurrent.ConcurrentSkipListMap.put(Object, Object) ConcurrentSkipListMap.java","1422","0.1","40","9440"
"org.apache.kafka.common.network.Selector.attemptRead(KafkaChannel) Selector.java","1324","1","31","1134"
"scala.collection.AbstractIterable.foreach(Function1) Iterable.scala","1270","0.3","16","3458"
"scala.collection.IterableOnceOps.foreach$(IterableOnceOps, Function1) IterableOnce.scala","1260","0.3","16","3471"
"scala.collection.IterableOnceOps.foreach(Function1) IterableOnce.scala","1243","0.3","37","3471"
"org.apache.kafka.common.metrics.stats.Meter.record(MetricConfig, double, long) Meter.java","1238","< 0.1","210","25882"
"kafka.utils.ShutdownableThread.run() ShutdownableThread.scala","1205","75","29","16"
"scala.collection.IterableOps$WithFilter.foreach(Function1) Iterable.scala","1129","0.9","8","1156"
"scala.collection.AbstractMap.$plus$plus(IterableOnce) Map.scala","1108","0.3","15","3402"
"org.apache.kafka.common.metrics.stats.SampledStat.record(MetricConfig, double, long) SampledStat.java","1105","< 0.1","388","35782"
"scala.collection.MapOps.$plus$plus$(MapOps, IterableOnce) Map.scala","1093","0.3","15","3402"
"scala.collection.MapOps.$plus$plus(IterableOnce) Map.scala","1077","0.3","15","3402"
"kafka.log.LocalLog.append(long, long, long, MemoryRecords) LocalLog.scala","1074","0.9","14","1134"
"scala.collection.mutable.HashMap.concat(IterableOnce) HashMap.scala","1062","0.3","15","3402"
"scala.collection.StrictOptimizedMapOps.concat$(StrictOptimizedMapOps, IterableOnce) StrictOptimizedMapOps.scala","1046","0.3","15","3402"
"scala.collection.StrictOptimizedMapOps.concat(IterableOnce) StrictOptimizedMapOps.scala","1031","0.3","47","3402"
"org.apache.kafka.common.network.Selector.attemptWrite(SelectionKey, KafkaChannel, long) Selector.java","992","0.4","24","2269"
"sun.nio.ch.SelectorImpl.select(long) SelectorImpl.java","965","0.2","23","3982"
"org.apache.kafka.common.network.Selector.select(long) Selector.java","960","0.2","22","3811"
"org.apache.kafka.common.metrics.stats.Rate.record(MetricConfig, double, long) Rate.java","959","< 0.1","140","25882"
"java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject.awaitNanos(long) AbstractQueuedSynchronizer.java","945","0.2","343","4552"
"sun.nio.ch.SelectorImpl.lockAndDoSelect(Consumer, long) SelectorImpl.java","942","0.2","40","3982"
"kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper.doWork() DelayedOperation.scala","940","0.3","30","2384"
"org.apache.kafka.common.utils.AbstractIterator.hasNext() AbstractIterator.java","933","< 0.1","120","32886"
"kafka.server.ReplicaManager.tryCompleteActions() ReplicaManager.scala","920","0.8","9","1135"
"org.apache.kafka.common.network.Selector.write(KafkaChannel) Selector.java","915","0.8","23","1135"
"kafka.server.ActionQueue.tryCompleteActions() ActionQueue.scala","909","0.8","19","1135"
"kafka.server.DelayedOperationPurgatory.advanceClock(long) DelayedOperation.scala","900","0.3","30","2384"
"java.util.concurrent.DelayQueue.poll(long, TimeUnit) DelayQueue.java","898","0.3","90","2624"
"scala.collection.mutable.HashMap.addAll(IterableOnce) HashMap.scala","875","< 0.1","171","11342"
"sun.nio.ch.KQueueSelectorImpl.doSelect(Consumer, long) KQueueSelectorImpl.java","872","0.2","126","3982"
"java.util.concurrent.locks.AbstractQueuedSynchronizer.release(int) AbstractQueuedSynchronizer.java","842","< 0.1","280","33312"
"kafka.utils.timer.SystemTimer.advanceClock(long) Timer.scala","838","0.3","20","2384"
