"Method","Time (ms)","Avg. Time (ms)","Own Time (ms)","Count"
"java.lang.Thread.run() Thread.java","28819","7204","0.1","4"
"io.netty.util.concurrent.FastThreadLocalRunnable.run() FastThreadLocalRunnable.java","28817","9605","< 0.1","3"
"io.netty.util.internal.ThreadExecutorMap$2.run() ThreadExecutorMap.java","28817","9605","< 0.1","3"
"io.netty.util.concurrent.SingleThreadEventExecutor$4.run() SingleThreadEventExecutor.java","28816","9605","< 0.1","3"
"io.netty.channel.nio.NioEventLoop.run() NioEventLoop.java","28816","9605","28","3"
"io.netty.channel.nio.NioEventLoop.processSelectedKeys() NioEventLoop.java","28101","40","4","695"
"io.netty.channel.nio.NioEventLoop.processSelectedKeysOptimized() NioEventLoop.java","28096","40","8","695"
"io.netty.channel.nio.NioEventLoop.processSelectedKey(SelectionKey, AbstractNioChannel) NioEventLoop.java","28085","40","15","695"
"io.netty.channel.nio.AbstractNioByteChannel$NioByteUnsafe.read() AbstractNioByteChannel.java","28039","40","42","694"
"io.netty.channel.DefaultChannelPipeline.fireChannelRead(Object) DefaultChannelPipeline.java","26325","37","4","694"
"io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext, Object) AbstractChannelHandlerContext.java","26321","2","168","12476"
"io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(Object) AbstractChannelHandlerContext.java","26261","2","119","12476"
"io.netty.channel.DefaultChannelPipeline$HeadContext.channelRead(ChannelHandlerContext, Object) DefaultChannelPipeline.java","26249","37","3","694"
"io.netty.channel.AbstractChannelHandlerContext.fireChannelRead(Object) AbstractChannelHandlerContext.java","26245","2","77","11782"
"io.netty.handler.timeout.IdleStateHandler.channelRead(ChannelHandlerContext, Object) IdleStateHandler.java","26113","37","3","693"
"io.netty.channel.CombinedChannelDuplexHandler.channelRead(ChannelHandlerContext, Object) CombinedChannelDuplexHandler.java","25981","37","4","693"
"io.netty.handler.codec.ByteToMessageDecoder.channelRead(ChannelHandlerContext, Object) ByteToMessageDecoder.java","25976","37","24","693"
"io.netty.handler.codec.ByteToMessageDecoder.fireChannelRead(ChannelHandlerContext, CodecOutputList, int) ByteToMessageDecoder.java","22168","31","9","694"
"io.netty.channel.CombinedChannelDuplexHandler$DelegatingChannelHandlerContext.fireChannelRead(Object) CombinedChannelDuplexHandler.java","22156","15","6","1386"
"io.netty.handler.flow.FlowControlHandler.channelRead(ChannelHandlerContext, Object) FlowControlHandler.java","21966","15","10","1386"
"io.netty.handler.flow.FlowControlHandler.dequeue(ChannelHandlerContext, int) FlowControlHandler.java","21881","6","14","3467"
"io.netty.handler.codec.http.HttpServerKeepAliveHandler.channelRead(ChannelHandlerContext, Object) HttpServerKeepAliveHandler.java","21694","15","8","1386"
"io.netty.channel.ChannelInboundHandlerAdapter.channelRead(ChannelHandlerContext, Object) ChannelInboundHandlerAdapter.java","21519","7","12","2772"
"io.netty.handler.codec.MessageToMessageCodec.channelRead(ChannelHandlerContext, Object) MessageToMessageCodec.java","21334","15","6","1386"
"io.netty.handler.codec.MessageToMessageDecoder.channelRead(ChannelHandlerContext, Object) MessageToMessageDecoder.java","21327","6","71","3465"
"io.netty.handler.codec.http.websocketx.extensions.WebSocketServerExtensionHandler.channelRead(ChannelHandlerContext, Object) WebSocketServerExtensionHandler.java","20515","14","6","1386"
"io.micronaut.http.netty.stream.HttpStreamsServerHandler.channelRead(ChannelHandlerContext, Object) HttpStreamsServerHandler.java","20283","14","8","1386"
"io.micronaut.http.netty.stream.HttpStreamsHandler.channelRead(ChannelHandlerContext, Object) HttpStreamsHandler.java","20213","14","18","1386"
"io.netty.handler.codec.http.websocketx.extensions.WebSocketServerExtensionHandler.onHttpRequestChannelRead(ChannelHandlerContext, HttpRequest) WebSocketServerExtensionHandler.java","20029","28","7","693"
"io.netty.channel.SimpleChannelInboundHandler.channelRead(ChannelHandlerContext, Object) SimpleChannelInboundHandler.java","19097","13","12","1386"
"io.micronaut.http.server.netty.RoutingInBoundHandler.channelRead0(ChannelHandlerContext, Object) RoutingInBoundHandler.java","18820","27","3","693"
"io.micronaut.http.server.netty.RoutingInBoundHandler.channelRead0(ChannelHandlerContext, HttpRequest) RoutingInBoundHandler.java","18816","27","43","693"
"io.micronaut.http.server.netty.RoutingInBoundHandler.handleRouteMatch(RouteMatch, NettyHttpRequest, ChannelHandlerContext) RoutingInBoundHandler.java","18132","26","26","693"
"reactor.core.publisher.Flux.subscribe(Subscriber) Flux.java","17096","6","87","2772"
"reactor.core.publisher.FluxJust.subscribe(CoreSubscriber) FluxJust.java","16405","7","14","2079"
"io.micronaut.reactive.reactor.instrument.ReactorSubscriber.onSubscribe(Subscription) ReactorSubscriber.java","16395","2","69","7623"
"reactor.core.publisher.FluxFlatMap$FlatMapMain.onSubscribe(Subscription) FluxFlatMap.java","16374","7","24","2079"
"reactor.core.publisher.Operators$ScalarSubscription.request(long) Operators.java","15874","7","20","2079"
"io.micronaut.reactive.reactor.instrument.ReactorSubscriber.onNext(Object) ReactorSubscriber.java","15585","2","57","6237"
"reactor.core.publisher.FluxFlatMap$FlatMapMain.onNext(Object) FluxFlatMap.java","15563","7","27","2079"
"reactor.core.publisher.FluxDeferContextual.subscribe(CoreSubscriber) FluxDeferContextual.java","15244","21","11","693"
"reactor.core.publisher.InternalFluxOperator.subscribe(CoreSubscriber) InternalFluxOperator.java","14552","10","32","1386"
"reactor.core.publisher.FluxDefer.subscribe(CoreSubscriber) FluxDefer.java","14442","20","7","693"
"reactor.core.publisher.MonoJust.subscribe(CoreSubscriber) MonoJust.java","13994","20","5","693"
"reactor.core.publisher.FluxPeek$PeekSubscriber.onSubscribe(Subscription) FluxPeek.java","13959","20","7","693"
"reactor.core.publisher.FluxFlatMap$FlatMapInner.onSubscribe(Subscription) FluxFlatMap.java","13927","6","20","2079"
"reactor.core.publisher.FluxPeek$PeekSubscriber.request(long) FluxPeek.java","13901","20","5","693"
"reactor.core.publisher.FluxPeek$PeekSubscriber.onNext(Object) FluxPeek.java","13737","19","7","693"
"reactor.core.publisher.FluxFlatMap$FlatMapInner.onNext(Object) FluxFlatMap.java","12298","17","5","693"
"reactor.core.publisher.FluxFlatMap$FlatMapMain.tryEmit(FluxFlatMap$FlatMapInner, Object) FluxFlatMap.java","12290","17","13","693"
"reactor.core.publisher.FluxFlatMap$FlatMapMain.drainLoop() FluxFlatMap.java","12247","1","124","6930"
"reactor.core.publisher.FluxFlatMap$FlatMapMain.drain(Object) FluxFlatMap.java","12233","1","45","7623"
"reactor.core.publisher.FluxOnErrorResume$ResumeSubscriber.onNext(Object) FluxOnErrorResume.java","11724","8","9","1386"
"reactor.core.publisher.FluxContextWrite$ContextWriteSubscriber.onNext(Object) FluxContextWrite.java","11136","16","3","693"
"reactor.core.publisher.StrictSubscriber.onNext(Object) StrictSubscriber.java","11111","16","9","693"
"io.micronaut.core.async.subscriber.CompletionAwareSubscriber.onNext(Object) CompletionAwareSubscriber.java","11085","15","5","693"
"io.micronaut.http.server.netty.RoutingInBoundHandler$2.doOnNext(Object) RoutingInBoundHandler.java","11078","15","3","693"
"io.micronaut.http.server.netty.RoutingInBoundHandler$2.doOnNext(HttpResponse) RoutingInBoundHandler.java","11075","15","11","693"
