"Method","Time (ms)","Avg. Time (ms)","Own Time (ms)","Count"
"java.lang.Thread.run() Thread.java","24720","1648","0","15"
"org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run() TaskThread.java","23558","1963","0","12"
"org.apache.tomcat.util.threads.ThreadPoolExecutor.runWorker(ThreadPoolExecutor$Worker) ThreadPoolExecutor.java","23410","2341","19","10"
"org.apache.tomcat.util.threads.ThreadPoolExecutor$Worker.run() ThreadPoolExecutor.java","23410","2341","0","10"
"org.apache.tomcat.util.net.SocketProcessorBase.run() SocketProcessorBase.java","23089","32","13","714"
"org.apache.tomcat.util.net.NioEndpoint$SocketProcessor.doRun() NioEndpoint.java","23041","32","12","714"
"org.apache.coyote.AbstractProtocol$ConnectionHandler.process(SocketWrapperBase, SocketEvent) AbstractProtocol.java","23010","32","37","714"
"org.apache.coyote.AbstractProcessorLight.process(SocketWrapperBase, SocketEvent) AbstractProcessorLight.java","22509","31","15","714"
"org.apache.coyote.http11.Http11Processor.service(SocketWrapperBase) Http11Processor.java","22449","31","112","714"
"org.apache.catalina.connector.CoyoteAdapter.service(Request, Response) CoyoteAdapter.java","18363","25","55","714"
"org.apache.catalina.core.StandardEngineValve.invoke(Request, Response) StandardEngineValve.java","16520","23","13","714"
"org.apache.catalina.valves.ErrorReportValve.invoke(Request, Response) ErrorReportValve.java","16483","23","7","714"
"org.apache.catalina.core.StandardHostValve.invoke(Request, Response) StandardHostValve.java","16457","23","38","714"
"org.apache.catalina.authenticator.AuthenticatorBase.invoke(Request, Response) AuthenticatorBase.java","16252","22","19","714"
"org.apache.catalina.core.StandardContextValve.invoke(Request, Response) StandardContextValve.java","15952","22","24","714"
"org.apache.catalina.core.StandardWrapperValve.invoke(Request, Response) StandardWrapperValve.java","15847","22","26","714"
"org.apache.catalina.core.ApplicationFilterChain.doFilter(ServletRequest, ServletResponse) ApplicationFilterChain.java","15526","4","12","3570"
"org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ServletRequest, ServletResponse) ApplicationFilterChain.java","15526","4","35","3570"
"org.springframework.web.filter.OncePerRequestFilter.doFilter(ServletRequest, ServletResponse, FilterChain) OncePerRequestFilter.java","15514","7","158","2142"
"org.springframework.web.filter.CharacterEncodingFilter.doFilterInternal(HttpServletRequest, HttpServletResponse, FilterChain) CharacterEncodingFilter.java","15050","21","10","714"
"org.springframework.web.filter.FormContentFilter.doFilterInternal(HttpServletRequest, HttpServletResponse, FilterChain) FormContentFilter.java","14761","20","6","714"
"org.springframework.web.filter.RequestContextFilter.doFilterInternal(HttpServletRequest, HttpServletResponse, FilterChain) RequestContextFilter.java","14284","20","11","714"
"org.apache.tomcat.websocket.server.WsFilter.doFilter(ServletRequest, ServletResponse, FilterChain) WsFilter.java","13898","19","22","714"
"jakarta.servlet.http.HttpServlet.service(ServletRequest, ServletResponse) HttpServlet.java","13751","19","3","714"
"org.springframework.web.servlet.FrameworkServlet.service(HttpServletRequest, HttpServletResponse) FrameworkServlet.java","13747","19","28","714"
"jakarta.servlet.http.HttpServlet.service(HttpServletRequest, HttpServletResponse) HttpServlet.java","13554","18","7","714"
"org.springframework.web.servlet.FrameworkServlet.doGet(HttpServletRequest, HttpServletResponse) FrameworkServlet.java","13534","18","3","714"
"org.springframework.web.servlet.FrameworkServlet.processRequest(HttpServletRequest, HttpServletResponse) FrameworkServlet.java","13530","18","28","714"
"org.springframework.web.servlet.DispatcherServlet.doService(HttpServletRequest, HttpServletResponse) DispatcherServlet.java","12961","18","35","714"
"org.springframework.web.servlet.DispatcherServlet.doDispatch(HttpServletRequest, HttpServletResponse) DispatcherServlet.java","12358","17","37","714"
"org.springframework.web.servlet.mvc.method.AbstractHandlerMethodAdapter.handle(HttpServletRequest, HttpServletResponse, Object) AbstractHandlerMethodAdapter.java","10670","14","3","714"
"org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter.handleInternal(HttpServletRequest, HttpServletResponse, HandlerMethod) RequestMappingHandlerAdapter.java","10667","14","14","714"
"org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter.invokeHandlerMethod(HttpServletRequest, HttpServletResponse, HandlerMethod) RequestMappingHandlerAdapter.java","10512","14","47","714"
"org.springframework.web.servlet.mvc.method.annotation.ServletInvocableHandlerMethod.invokeAndHandle(ServletWebRequest, ModelAndViewContainer, Object[]) ServletInvocableHandlerMethod.java","10027","14","15","714"
"org.springframework.web.method.support.HandlerMethodReturnValueHandlerComposite.handleReturnValue(Object, MethodParameter, ModelAndViewContainer, NativeWebRequest) HandlerMethodReturnValueHandlerComposite.java","8721","12","5","714"
"org.springframework.web.servlet.mvc.method.annotation.RequestResponseBodyMethodProcessor.handleReturnValue(Object, MethodParameter, ModelAndViewContainer, NativeWebRequest) RequestResponseBodyMethodProcessor.java","7436","10","9","713"
"org.springframework.web.servlet.mvc.method.annotation.AbstractMessageConverterMethodProcessor.writeWithMessageConverters(Object, MethodParameter, ServletServerHttpRequest, ServletServerHttpResponse) AbstractMessageConverterMethodProcessor.java","7328","10","78","713"
"org.springframework.http.converter.AbstractGenericHttpMessageConverter.write(Object, Type, MediaType, HttpOutputMessage) AbstractGenericHttpMessageConverter.java","5107","7","10","713"
"org.springframework.http.converter.json.AbstractJackson2HttpMessageConverter.writeInternal(Object, Type, HttpOutputMessage) AbstractJackson2HttpMessageConverter.java","4352","6","43","713"
"org.apache.coyote.Response.action(ActionCode, Object) Response.java","3304","0.6","22","4991"
"org.apache.coyote.AbstractProcessor.action(ActionCode, Object) AbstractProcessor.java","3301","0.3","59","9268"
"org.apache.catalina.connector.CoyoteOutputStream.flush() CoyoteOutputStream.java","3176","1","14","2140"
"org.apache.catalina.connector.OutputBuffer.flush() OutputBuffer.java","3124","1","9","2138"
"org.apache.catalina.connector.OutputBuffer.doFlush(boolean) OutputBuffer.java","3116","1","20","2851"
"com.fasterxml.jackson.core.json.UTF8JsonGenerator.flush() UTF8JsonGenerator.java","2990","2","13","1426"
"com.fasterxml.jackson.databind.ObjectWriter.writeValue(JsonGenerator, Object) ObjectWriter.java","2965","4","15","713"
"org.apache.coyote.Response.sendHeaders() Response.java","2191","3","5","713"
"org.apache.coyote.http11.Http11Processor.prepareResponse() Http11Processor.java","2174","3","105","713"
"org.springframework.core.annotation.AnnotatedElementUtils.hasAnnotation(AnnotatedElement, Class) AnnotatedElementUtils.java","1342","0.6","25","2139"
"org.springframework.web.method.support.HandlerMethodReturnValueHandlerComposite.selectHandler(Object, MethodParameter) HandlerMethodReturnValueHandlerComposite.java","1279","1","69","714"
"org.springframework.web.method.support.InvocableHandlerMethod.invokeForRequest(NativeWebRequest, ModelAndViewContainer, Object[]) InvocableHandlerMethod.java","1240","1","7","714"
"org.springframework.web.servlet.DispatcherServlet.getHandler(HttpServletRequest) DispatcherServlet.java","1239","1","10","714"
