"Method","Time (ms)","Avg. Time (ms)","Own Time (ms)","Count"
"java.lang.Thread.run() Thread.java","111120","10101","0","11"
"org.eclipse.jetty.util.thread.QueuedThreadPool$Runner.run() QueuedThreadPool.java","110061","13757","< 0.1","8"
"org.eclipse.jetty.util.thread.QueuedThreadPool$Runner.doRunJob(Runnable) QueuedThreadPool.java","110059","13757","< 0.1","8"
"org.eclipse.jetty.util.thread.QueuedThreadPool.runJob(Runnable) QueuedThreadPool.java","110059","13757","< 0.1","8"
"org.eclipse.jetty.util.thread.strategy.AdaptiveExecutionStrategy.tryProduce(boolean) AdaptiveExecutionStrategy.java","110038","1279","0","86"
"org.eclipse.jetty.util.thread.strategy.AdaptiveExecutionStrategy.consumeTask(Runnable, AdaptiveExecutionStrategy$SubStrategy) AdaptiveExecutionStrategy.java","109852","1307","0","84"
"org.eclipse.jetty.io.SelectableChannelEndPoint$1.run() SelectableChannelEndPoint.java","109845","1307","0","84"
"org.eclipse.jetty.util.thread.strategy.AdaptiveExecutionStrategy.runTask(Runnable) AdaptiveExecutionStrategy.java","109845","1307","0","84"
"org.eclipse.jetty.io.FillInterest.fillable() FillInterest.java","109845","1307","0","84"
"org.eclipse.jetty.io.AbstractConnection$ReadCallback.succeeded() AbstractConnection.java","109843","1307","0","84"
"org.eclipse.jetty.server.HttpConnection.onFillable() HttpConnection.java","109843","1307","0","84"
"org.eclipse.jetty.server.HttpChannel.handle() HttpChannel.java","109290","1316","0","83"
"org.eclipse.jetty.server.HttpChannel.dispatch(DispatcherType, HttpChannel$Dispatchable) HttpChannel.java","109097","1314","0","83"
"org.eclipse.jetty.server.HttpChannel.lambda$handle$0() HttpChannel.java","109089","1283","0","85"
"org.eclipse.jetty.server.Server.handle(HttpChannel) Server.java","109088","1283","0","85"
"org.eclipse.jetty.server.handler.HandlerList.handle(String, Request, HttpServletRequest, HttpServletResponse) HandlerList.java","109085","1283","0","85"
"org.eclipse.jetty.server.handler.HandlerWrapper.handle(String, Request, HttpServletRequest, HttpServletResponse) HandlerWrapper.java","109085","434","0.1","251"
"org.eclipse.jetty.server.handler.ContextHandlerCollection.handle(String, Request, HttpServletRequest, HttpServletResponse) ContextHandlerCollection.java","109084","1283","0","85"
"org.eclipse.jetty.server.handler.ScopedHandler.handle(String, Request, HttpServletRequest, HttpServletResponse) ScopedHandler.java","109073","328","0.6","332"
"org.eclipse.jetty.server.handler.ContextHandler.doScope(String, Request, HttpServletRequest, HttpServletResponse) ContextHandler.java","109073","657","1","166"
"org.eclipse.jetty.server.handler.ScopedHandler.nextScope(String, Request, HttpServletRequest, HttpServletResponse) ScopedHandler.java","109067","328","0.3","332"
"org.eclipse.jetty.server.session.SessionHandler.doScope(String, Request, HttpServletRequest, HttpServletResponse) SessionHandler.java","109067","657","0.7","166"
"org.eclipse.jetty.servlet.ServletHandler.doScope(String, Request, HttpServletRequest, HttpServletResponse) ServletHandler.java","109054","656","1","166"
"org.eclipse.jetty.server.handler.ContextHandler.doHandle(String, Request, HttpServletRequest, HttpServletResponse) ContextHandler.java","109036","656","0.3","166"
"org.eclipse.jetty.security.SecurityHandler.handle(String, Request, HttpServletRequest, HttpServletResponse) SecurityHandler.java","108968","656","0.4","166"
"org.eclipse.jetty.server.handler.ScopedHandler.nextHandle(String, Request, HttpServletRequest, HttpServletResponse) ScopedHandler.java","108968","328","0.3","332"
"org.eclipse.jetty.server.session.SessionHandler.doHandle(String, Request, HttpServletRequest, HttpServletResponse) SessionHandler.java","108968","656","0.1","166"
"org.eclipse.jetty.servlet.ServletHandler.doHandle(String, Request, HttpServletRequest, HttpServletResponse) ServletHandler.java","108956","656","0.7","166"
"org.eclipse.jetty.servlet.FilterHolder.doFilter(ServletRequest, ServletResponse, FilterChain) FilterHolder.java","108954","644","0","169"
