"Method","Time (ms)","Avg. Time (ms)","Own Time (ms)","Count"
"org.example.takes_example.TakesExampleApp.main(String[]) TakesExampleApp.java","5179","5179","0","1"
"org.takes.http.FtBasic.start(Exit) FtBasic.java","5179","5179","0","1"
"org.takes.http.FtBasic.loop(ServerSocket) FtBasic.java","5178","47","0","110"
"org.takes.http.BkWrap.accept(Socket) BkWrap.java","5082","92","0.3","55"
"org.takes.http.BkSafe.lambda$new$0(Back, Socket) BkSafe.java","5081","92","0.3","55"
"org.takes.http.BkBasic.accept(Socket) BkBasic.java","5081","92","2","55"
"org.takes.http.BkBasic.print(Request, OutputStream) BkBasic.java","2794","50","0.5","55"
"org.takes.facets.fork.TkFork.act(Request) TkFork.java","2123","38","0.5","55"
"org.takes.facets.fork.FkChain.route(Request) FkChain.java","2122","38","0.9","55"
"org.takes.facets.fork.FkRegex.route(Request) FkRegex.java","2117","38","1","55"
"org.takes.rq.RqLive.<init>(InputStream) RqLive.java","2079","37","0.4","55"
"org.takes.rq.RqLive.parse(InputStream) RqLive.java","2079","37","132","55"
"org.takes.rq.RqHref$Base.href() RqHref.java","1987","18","5","110"
"org.takes.rq.RqHeaders$Base.header(CharSequence) RqHeaders.java","1626","7","5","220"
"org.takes.rq.RqLive.data(InputStream, Opt, boolean) RqLive.java","1599","0.2","83","7535"
"org.takes.rq.RqHeaders$Base.map() RqHeaders.java","1530","3","94","440"
"java.net.Socket$SocketInputStream.read() Socket.java","1420","0.1","34","7810"
"java.net.Socket$SocketInputStream.read(byte[], int, int) Socket.java","1385","0.1","34","7810"
"sun.nio.ch.NioSocketImpl$1.read(byte[], int, int) NioSocketImpl.java","1350","0.1","64","7810"
"sun.nio.ch.NioSocketImpl.read(byte[], int, int) NioSocketImpl.java","1269","0.1","70","7810"
"org.takes.facets.fork.FkRegex.lambda$new$0(Take, RqRegex) FkRegex.java","1080","19","0.2","55"
"org.example.takes_example.TakesExampleApp$JsonResponse.act(Request) TakesExampleApp.java","1080","19","1","55"
"org.takes.rq.RqHref$Smart.single(CharSequence) RqHref.java","972","17","0.6","55"
"sun.nio.ch.NioSocketImpl.implRead(byte[], int, int) NioSocketImpl.java","959","0.1","86","7810"
"org.takes.rq.RqHref$Smart.href() RqHref.java","954","17","0.2","55"
"sun.nio.ch.NioSocketImpl.tryRead(FileDescriptor, byte[], int, int) NioSocketImpl.java","752","< 0.1","122","7810"
"org.takes.rs.RsPrint.print(OutputStream) RsPrint.java","670","12","0.3","55"
"org.takes.rs.RsPrint.printHead(OutputStream) RsPrint.java","662","12","12","55"
"org.cactoos.text.TextEnvelope.asString() TextEnvelope.java","560","< 0.1","172","49830"
"org.takes.rq.RqWrap.head() RqWrap.java","526","0.1","9","2640"
"org.takes.rq.RequestOf.head() RequestOf.java","518","0.3","5","1320"
"org.takes.rq.RqWithHeaders.lambda$new$0(Request, Iterable) RqWithHeaders.java","515","0.7","58","660"
"org.cactoos.scalar.IoChecked.value() IoChecked.java","502","0.1","26","3960"
"org.cactoos.scalar.Checked.value() Checked.java","484","0.1","14","3960"
"org.cactoos.text.UncheckedText.asString() UncheckedText.java","462","< 0.1","34","9790"
