"Method","Time (ms)","Avg. Time (ms)","Own Time (ms)","Count"
"java.lang.Thread.run() Thread.java","22571","1612","0","14"
"org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run() TaskThread.java","21350","1779","0","12"
"org.apache.tomcat.util.threads.ThreadPoolExecutor.runWorker(ThreadPoolExecutor$Worker) ThreadPoolExecutor.java","21017","2101","26","10"
"org.apache.tomcat.util.threads.ThreadPoolExecutor$Worker.run() ThreadPoolExecutor.java","21017","2101","0","10"
"org.apache.tomcat.util.net.SocketProcessorBase.run() SocketProcessorBase.java","20666","26","16","777"
"org.apache.tomcat.util.net.NioEndpoint$SocketProcessor.doRun() NioEndpoint.java","20610","26","15","777"
"org.apache.coyote.AbstractProtocol$ConnectionHandler.process(SocketWrapperBase, SocketEvent) AbstractProtocol.java","20576","26","45","777"
"org.apache.coyote.AbstractProcessorLight.process(SocketWrapperBase, SocketEvent) AbstractProcessorLight.java","20032","25","19","777"
"org.apache.coyote.http11.Http11Processor.service(SocketWrapperBase) Http11Processor.java","19966","25","143","777"
"org.apache.catalina.connector.CoyoteAdapter.service(Request, Response) CoyoteAdapter.java","14419","18","64","777"
"org.apache.catalina.core.StandardEngineValve.invoke(Request, Response) StandardEngineValve.java","8381","10","18","777"
"org.apache.catalina.valves.AbstractAccessLogValve.invoke(Request, Response) AbstractAccessLogValve.java","8330","10","9","777"
"org.apache.catalina.valves.ErrorReportValve.invoke(Request, Response) ErrorReportValve.java","8275","10","16","777"
"org.apache.catalina.core.StandardHostValve.invoke(Request, Response) StandardHostValve.java","8223","10","49","777"
"org.apache.catalina.valves.RemoteAddrValve.invoke(Request, Response) RemoteAddrValve.java","7960","10","12","777"
"org.apache.catalina.valves.RequestFilterValve.process(String, Request, Response) RequestFilterValve.java","7933","10","8","777"
"org.apache.catalina.authenticator.AuthenticatorBase.invoke(Request, Response) AuthenticatorBase.java","7820","10","24","777"
"org.apache.catalina.core.StandardContextValve.invoke(Request, Response) StandardContextValve.java","7040","9","32","777"
"org.apache.catalina.core.StandardWrapperValve.invoke(Request, Response) StandardWrapperValve.java","6906","8","40","777"
"org.apache.catalina.core.ApplicationFilterChain.doFilter(ServletRequest, ServletResponse) ApplicationFilterChain.java","6645","2","10","2331"
"org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ServletRequest, ServletResponse) ApplicationFilterChain.java","6642","2","31","2331"
"org.apache.catalina.filters.HttpHeaderSecurityFilter.doFilter(ServletRequest, ServletResponse, FilterChain) HttpHeaderSecurityFilter.java","6617","8","43","777"
"org.apache.tomcat.websocket.server.WsFilter.doFilter(ServletRequest, ServletResponse, FilterChain) WsFilter.java","5935","7","31","777"
"jakarta.servlet.http.HttpServlet.service(ServletRequest, ServletResponse) HttpServlet.java","5606","7","4","777"
"jakarta.servlet.http.HttpServlet.service(HttpServletRequest, HttpServletResponse) HttpServlet.java","5602","7","9","777"
"RequestInfoExample.doGet(HttpServletRequest, HttpServletResponse) RequestInfoExample.java","5575","7","115","777"
"org.apache.catalina.connector.CoyoteWriter.println(String) CoyoteWriter.java","4601","0.1","167","25633"
"org.apache.catalina.connector.Response.finishResponse() Response.java","3542","4","3","776"
"org.apache.catalina.connector.OutputBuffer.close() OutputBuffer.java","3538","4","26","776"
"org.apache.coyote.AbstractProcessor.action(ActionCode, Object) AbstractProcessor.java","3349","0.5","43","6210"
"org.apache.coyote.Response.action(ActionCode, Object) Response.java","3335","1","14","3105"
"org.apache.catalina.connector.OutputBuffer.doFlush(boolean) OutputBuffer.java","3046","3","6","776"
"org.apache.coyote.Response.sendHeaders() Response.java","2981","3","5","776"
"org.apache.coyote.http11.Http11Processor.prepareResponse() Http11Processor.java","2962","3","131","776"
