"Method","Time (ms)","Avg. Time (ms)","Own Time (ms)","Count"
"verification.half.Half.main(String[]) Half.java","609","609","260","1"
"java.lang.Thread.sleep(long) Thread.java (native)","265","< 0.1","265","5302"
"verification.half.Half$Prime.<init>(int) Half.java","33","< 0.1","33","5302"
"verification.half.Half$Prime.price() Half.java","25","< 0.1","25","5302"
"verification.half.Half.discounted(int) Half.java","24","< 0.1","24","5302"
"java.lang.Thread.run() Thread.java","0.2","0.2","0","1"
"jdk.internal.misc.InnocuousThread.run() InnocuousThread.java","0.2","0.2","0","1"
"jdk.internal.ref.CleanerImpl.run() CleanerImpl.java","0.2","0.2","< 0.1","1"
"jdk.internal.ref.PhantomCleanable.isListEmpty() PhantomCleanable.java","0.1","0.1","0.1","1"
"jdk.internal.misc.InnocuousThread.eraseThreadLocals() InnocuousThread.java","< 0.1","< 0.1","< 0.1","1"
