"Method","Time (ms)","Avg. Time (ms)","Own Time (ms)","Count"
"verification.instances.InstanceOnly.main(String[]) InstanceOnly.java","626","626","247","1"
"java.lang.Thread.sleep(long) Thread.java (native)","251","< 0.1","251","5386"
"verification.instances.InstanceOnly$Discounted.price() InstanceOnly.java","70","< 0.1","47","5386"
"verification.instances.InstanceOnly$Prime.<init>(int) InstanceOnly.java","32","< 0.1","32","5386"
"verification.instances.InstanceOnly$Discounted.<init>(InstanceOnly$Book) InstanceOnly.java","24","< 0.1","24","5386"
"verification.instances.InstanceOnly$Prime.price() InstanceOnly.java","22","< 0.1","22","5386"
"java.lang.Thread.run() Thread.java","0.2","0.2","0","1"
"jdk.internal.misc.InnocuousThread.run() InnocuousThread.java","0.2","0.2","0","1"
"jdk.internal.ref.CleanerImpl.run() CleanerImpl.java","0.2","0.2","< 0.1","1"
"jdk.internal.ref.PhantomCleanable.isListEmpty() PhantomCleanable.java","0.1","0.1","0.1","1"
"jdk.internal.misc.InnocuousThread.eraseThreadLocals() InnocuousThread.java","< 0.1","< 0.1","< 0.1","1"
