"Method","Time (ms)","Avg. Time (ms)","Own Time (ms)","Count"
"java.lang.Thread.run() Thread.java","28363","9454","0","3"
"io.netty.channel.nio.NioEventLoop.run() NioEventLoop.java","28363","14181","72","2"
"io.netty.util.concurrent.FastThreadLocalRunnable.run() FastThreadLocalRunnable.java","28363","14181","0","2"
"io.netty.util.concurrent.SingleThreadEventExecutor$4.run() SingleThreadEventExecutor.java","28363","14181","0","2"
"io.netty.util.internal.ThreadExecutorMap$2.run() ThreadExecutorMap.java","28363","14181","0","2"
"io.netty.channel.nio.NioEventLoop.processSelectedKeys() NioEventLoop.java","27471","18","11","1523"
"io.netty.channel.nio.NioEventLoop.processSelectedKeysOptimized() NioEventLoop.java","27460","18","17","1523"
"io.netty.channel.nio.NioEventLoop.processSelectedKey(SelectionKey, AbstractNioChannel) NioEventLoop.java","27436","18","32","1523"
"io.netty.channel.nio.AbstractNioByteChannel$NioByteUnsafe.read() AbstractNioByteChannel.java","27342","17","89","1522"
"io.netty.channel.DefaultChannelPipeline.fireChannelRead(Object) DefaultChannelPipeline.java","20820","13","8","1522"
"io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext, Object) AbstractChannelHandlerContext.java","20811","2","140","9126"
"io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(Object) AbstractChannelHandlerContext.java","20708","2","97","9126"
"io.netty.channel.DefaultChannelPipeline$HeadContext.channelRead(ChannelHandlerContext, Object) DefaultChannelPipeline.java","20680","13","8","1522"
"io.netty.channel.AbstractChannelHandlerContext.fireChannelRead(Object) AbstractChannelHandlerContext.java","20671","2","57","7604"
"io.netty.handler.codec.ByteToMessageDecoder.channelRead(ChannelHandlerContext, Object) ByteToMessageDecoder.java","20402","13","51","1521"
"io.netty.handler.codec.ByteToMessageDecoder.fireChannelRead(ChannelHandlerContext, CodecOutputList, int) ByteToMessageDecoder.java","12263","8","20","1521"
"io.netty.handler.codec.http.websocketx.extensions.WebSocketServerExtensionHandler.channelRead(ChannelHandlerContext, Object) WebSocketServerExtensionHandler.java","11815","3","14","3040"
"io.netty.channel.ChannelInboundHandlerAdapter.channelRead(ChannelHandlerContext, Object) ChannelInboundHandlerAdapter.java","11747","3","14","3040"
"io.netty.handler.codec.http.websocketx.extensions.WebSocketServerExtensionHandler.onHttpRequestChannelRead(ChannelHandlerContext, HttpRequest) WebSocketServerExtensionHandler.java","11477","7","17","1520"
"io.vertx.core.net.impl.VertxHandler.channelRead(ChannelHandlerContext, Object) VertxHandler.java","11334","3","14","3040"
"io.vertx.core.net.impl.ConnectionBase.read(Object) ConnectionBase.java","11320","3","21","3040"
"io.vertx.core.http.impl.Http1xServerConnection.handleMessage(Object) Http1xServerConnection.java","11262","3","36","3040"
"io.vertx.core.impl.DuplicatedContext.emit(Object, Handler) DuplicatedContext.java","10813","7","8","1520"
"io.vertx.core.impl.EventLoopContext.emit(ContextInternal, Object, Handler) EventLoopContext.java","10804","7","25","1520"
"io.vertx.core.http.impl.Http1xServerRequestHandler.handle(Object) Http1xServerRequestHandler.java","10657","7","8","1520"
"io.vertx.core.http.impl.Http1xServerRequestHandler.handle(HttpServerRequest) Http1xServerRequestHandler.java","10649","7","13","1520"
"org.example.vertx_starter.MainVerticle.handle(HttpServerRequest) MainVerticle.java","10623","6","47","1520"
"io.vertx.core.http.impl.Http1xServerResponse.end(String) Http1xServerResponse.java","9013","5","12","1520"
"io.vertx.core.http.impl.Http1xServerResponse.end(Buffer) Http1xServerResponse.java","8556","5","17","1520"
"io.vertx.core.http.impl.Http1xServerResponse.end(Buffer, PromiseInternal) Http1xServerResponse.java","8510","5","32","1520"
"io.vertx.core.net.impl.ConnectionBase.writeToChannel(Object, FutureListener) ConnectionBase.java","7995","5","12","1520"
"io.vertx.core.net.impl.ConnectionBase.writeToChannel(Object, ChannelPromise) ConnectionBase.java","7830","5","7","1520"
